diagram,size,alternatives,xheight,colours,text
p619,600,450 750 900 1200,,BACKGROUND --- WHITE BORDER --- SYMBOLS ------ 180 1 (450) © 600 : ~~ -16 1 (750) A - J 1 (900) { ) 1200 (1200) OKO 228 | -- 1 1 1 247,"Drawing No. Related Drawings © CROWN COPYRIGHT P 619 $19 & S 23 270 NOTES: 1. All 600mm dia sign dimensions shall be varied le— 124 proportionally for the other roundel sizes. 2. Car and motor cycle symbol details are given 60] on drawings S 19 & S 23 respectively. 3. The tile outlines do not form part of the sign. L 4. COLOURS : Background —-— WHITE Border —-— Symbols -—---— 180 1 (450) © 600 : ~~ —16 1 (750) a - j 1 (900) { ) 1200 (1200) OKO 228 | —— 1 1 1 247 Before using this drawing, confirm P619 that it has not been superseded. Title: i Issue: Date: | Drawn by: Dimensions: Drawing No. Regulatory Sign yt 9 Transpo, for gulatory Sig Ne eyes Sp. ransport | Motor VEHICLES PROHIBITED | & 167.4) roorored oy: wuumerRes | P 619 Cc: R.M. "
p622x1a,600,450 750 900 1200 1500,,BORDER ----~-- RED SYMBOL ------ BLACK WITH WHITE LEGEND BACKGROUND --- WHITE . WHEN THE SIGN IS USED AS A SYMBOL ON A DIRECTIONAL SIGN THE LORRY SYMBOL MAY BE REVERSED AS SHOWN ON DRAWING S 32 SHEET,"Drawing No. P 622.1A Related Drawings S 32 sheets 2 & 3 (450) 600 (750) (900) (1200) (1500) P622.1A 190 3596 © CROWN COPYRIGHT NOTES: 1. All dimensions for the 600mm dia sign shall be varied proportionally for the other roundel sizes. . Symbol details are given on drawing S 32 sheets 2 & 3. . The tile outline does not form part of the sign. . COLOURS : Border -—--~-— RED Symbol —----— BLACK with white legend Background ——— WHITE . When the sign is used as a symbol on a directional sign the lorry symbol may be reversed as shown on drawing S 32 sheets 2 & 3. VARIANT [1 © Y Before using this drawing, confirm that it has not been superseded. Department for Transport Title: Regulatory Sign GOODS VEHICLES OVER 7.5 TONNES OR 18 TONNES (mgw) PROHIBITED Issue: A: B: Cc: Date: 5.7.94 4.12.02 11.11.11 Drawn by: Approved by: Dimensions : | Drawing No. P 622.1A S.P. MILLIMETRES R.M. "
p622x2,600,450 750 900,,BACKGROUND --------- WHITE BORDER & SYMBOL --- GREY DIAGONAL BARS ----- BLACK ¢- 198,"Drawing No. Related Drawing P 622.2 S 32 sheet 1 (450) 600 (750) (900) P622x2 © CROWN COPYRIGHT NOTES: 1. All 600mm dia sign dimensions shall be varied proportionally for the other roundel sizes. 2. Symbol details are given on drawing S 32 sheet 1. 3. The tile outline does not form part of the sign. 4. COLOURS : Background —--—-—-—— WHITE Border & Symbol -—— GREY Diagonal bars ——--— BLACK ¢— 198 Before using this drawing, confirm that it has not been superseded. Department for Transport Title: INDICATED BY THE SIGN ON P 622.1A Regulatory Sign END OF PROHIBITION Issue: A: B: Cc: Date: 5.7.94 16.7.04 Drawn by: Dimensions: Drawing No. SP. Approved by: | MILLIMETRES P 5 ? ? . ? R.M. "
p622x4,600,750 900,,BACKGROUND --- WHITE BORDER VARIANT “LAYING ~)*) FEO WELNICLES EE DEPARTMENT FOR TRANSPORT TITLE: REGULATORY SIGNS NO ARTICULATED VEHICLES (NO TRACK LAYING VEHICLES) ISSUE: A: B: CC: DATE: 5.7.,"Drawing No. P 622.4 wil 40 | P622x4 Before using this drawing, confirm that it has not been superseded. | No articulated welicles 40 x-ht (50) (60) K+ 600 (750) (900) LEGEND CENTRALISED HORIZONTALLY ON VERTICAL CENTRE LINE OF ROUNDEL FOR BOTH SIGNS © CROWN COPYRIGHT NOTES: 1. All 600mm dia sign dimensions shall be varied proportionally for the other roundel sizes. 2. The legend is from the Transport Heavy alphabet at the x—heights shown. 3. The tile outlines do not form part of the signs. 4. COLOURS : Background ——— WHITE Border VARIANT “laying ~)*) Feo welnicles ee Department for Transport Title: Regulatory Signs NO ARTICULATED VEHICLES (NO TRACK LAYING VEHICLES) Issue: A: B: Cc: Date: 5.7.94 16.7.04 Drawn by: Dimensions: Drawing No. SP. Approved by: | MILLIMETRES P 6 ? ? 4 R.M. "
p622x8,600,450 750 900 1200,,BORDER ------ RED BACKGROUND --- WHITE SYMBOL ------ SEE DRAWING S 62,"Drawing No. P 622.8 Related Drawing S 62 (450) 600 (750) (900) (1200) P622x8 524 NOTES: — 1. © CROWN COPYRIGHT Symbol details are given on drawing S 62. The tile outline does not form part of the sign. All 600mm dia sign dimensions shall be varied proportionally for the other roundel sizes. COLOURS : Border -—---— RED Background ——— WHITE Symbol -----— see drawing S 62 Before using this drawing, confirm that it has not been superseded. Department for Transport Title: Regulatory Sign VEHICLES CARRYING EXPLOSIVES PROHIBITED Issue: A: B: Cc: Date: 5.12.02 Drawn by: R.M. Approved by: R.M. Dimensions: Drawing No. MILLIMETRES P 5 2? ; 8 "
p952,600,1200 450 750 900,,BACKGROUND --- WHITE BORDER ------ RED SYMBOL ------- BLACK €- 130,"Drawing No. P 952 Related Drawings S 25 Sheet 1 P952 (1200) (450) 600 (750) (900) Equal Equal 400 © CROWN COPYRIGHT NOTES: 1. All 600mm dia sign dimensions shall be varied proportionally for the other roundel sizes. 2. Symbol details are given on drawing S 25 sheet 1. 3. The tile outline does not form part of the sign. 4. COLOURS : Background ——— WHITE Border —----— RED Symbol —-----— BLACK €— 130 Before using this drawing, confirm that it has not been superseded. Department for Transport Title: Regulatory Sign BUSES PROHIBITED Issue: Date: 6.7.94 4.8.04 Drawn by: S.P. Approved by: R.M. Dimensions: MILLIMETRES Drawing No. P 952 "
p619x1,600,450 750 900 1200,,BORDER ------ RED SYMBOL ------- BLACK BACKGROUND --- WHITE (450) 600 312 (750) (900) (1200) 558,"Drawing No. Related Drawing P 619.1 S19 NOTES: — 1. © CROWN COPYRIGHT All dimensions for the 600mm dia sign shall be varied proportionally for the other roundel sizes. 2. Symbol details are given on drawing S 19. 3. The tile outline does not form part of the sign. 4. COLOURS : Border -----— RED Symbol —-----— BLACK Background ——— WHITE (450) 600 312 (750) (900) (1200) 558 Before using this drawing, confirm P619x1 that it has not been superseded. Department for Title : Regulatory Sign Issue: Date: | Drawn by: Dimensions: Drawing No. ALL MOTOR VEHICLES EXCEPT aes panes B: 14.11.02 r :| MILLIMETRES Transport SOLO MOTOR CYCLES PROHIBITED | ¢: ven P 619.1 "
p622x7,600,450 750 900 1200,,BORDER BACKGROUND --- WHITE SYMBOL ------ BLACK (450) 600 84 (750) ¢ = (900) BA (1200) 420,"Drawing No. Related Drawing P 622.7| S17 © CROWN COPYRIGHT NOTES: — 1. Symbol details are given on drawing S 17. 2. The tile outline does not form part of the sign. 3. All 600mm dia sign dimensions shall be varied proportionally for the other roundel sizes. 4. COLOURS : Border Background ——— WHITE Symbol —----— BLACK (450) 600 84 (750) ¢ = (900) BA (1200) 420 Before using this drawing, confirm P622x7 that it has not been superseded. Department for Title: Regulatory Sign Issue: Date: | Drawn by: Dimensions: Drawing No. A: 5.12.02 R.M. Transport | towed caRAVANS PROHIBITED | ®: Aeproved by:| MILLIMETRES | > 6 DD) / Cc: R.M. "
p619x2,600,450 750 900 1200,,BORDER RED SYMBOL --- BLACK BACKGROUND --- WHITE EE © (450) 600 270 (750) (900) (1200) MA 200 405,"Drawing No. Related Drawing P 619.2 S23 © CROWN COPYRIGHT NOTES:— 1. All dimensions for the 600mm dia sign shall be varied proportionally for the other roundel sizes. 2. Symbol details are given on drawing S 23. 3. The tile outline does not form part of the sign. 4. COLOURS : Border RED Symbol —-— BLACK Background ——— WHITE ee © (450) 600 270 (750) (900) (1200) ma 200 405 Before using this drawing, confirm P619x2 that it has not been superseded. Title: ; Issue: Date: | Drawn by: Dimensions: Drawing No. Regulatory Sign y? 9 Transpo, for gulatory Sig Ae syeal ae. FANSPOHT | soLo MoTOR CYCLES PROHIBITED | ® 141.02] roorores oy:] wLLMETRES | P 619.2 Cc: R.M. "
p951,450,270 300 600,,BACKGROUND --- WHITE (270) (300) 450 90 (600),"Drawing No. Related Drawing © CROWN COPYRIGHT P 951 |_S 24 Cc fa sign dimensi i NOTES: 1. All 450mm dia sign dimensions shall be varied proportionally for the other roundel sizes. 2. Symbol details are given on drawing S 24. 3. The tile outline does not form part of the sign. 4. COLOURS : Background —-— WHITE (270) (300) 450 90 (600) Before using this drawing, confirm P951 that it has not been superseded. Title: ; Issue: Date: | Drawn by: Dimensions: Drawing No. Regulatory Sign y? 9 Department for A: er e4 SP Transport | CYCLING PROHIBITED — | 88708 spree y=) MLUINETRES | POH Cc: R.M. "
p625x1,350,300 450,,BORDER ------ RED SYMBOL ------- BLACK BACKGROUND --- WHITE (300) (450) 350 600 -_ YY Y <--_- = -__ ES = 250,"Drawing No. Related Drawing P 625.1 S 2 © CROWN COPYRIGHT NOTES:— 1. All dimensions for the 600mm dia sign shall be varied proportionally for the other roundel sizes. T 2. Symbol details are given on drawing S 2. 3. The tile outline does not form part of the sign. 4. COLOURS : Border -----— RED Symbol —-----— BLACK Background ——— WHITE (300) (450) 350 600 —_ yy y <——_— = —__ es = 250 Before using this drawing, confirm P625.1 that it has not been superseded. Title: ; Issue: Date: | Drawn by: Dimensions: Drawing No. Regulatory Sign y? 9 Department for a: t9704| SP. Transport | PEDESTRIANS PROHIBITED | ®* 121202] somes y:] MuuMETRES | PG D5 | Cc: R.M. "
p622x5,600,450 165 330,,BACKGROUND --- WHITE BORDER ------ RED SYMBOL ------- BLACK (450) C- (165) 600 220 (90) 120 I I T | = T = (330) 440,"Drawing No. Related Drawing © CROWN COPYRIGHT P 622.5| S15 ¢ NOTES: 1. Symbol details are given on drawing S 15. T 2. The tile outline does not form part of the sign. 3. COLOURS : Background —-— WHITE Border —----— RED Symbol —----—— BLACK (450) C— (165) 600 220 (90) 120 I I t | = t = (330) 440 Before using this drawing, confirm P622x5 that it has not been superseded. Title: Regulatory Sign Issue: Date: | Drawn by: Dimensions: Drawing No. Department for HORSE DRAWN VEHICLES |“ 57%] se fo Transport PROHIBITED c. 16.7.04 ave by: P 622.5 "
p622x6,600,252 450 108 153 288,,BACKGROUND ---- WHITE BORDER -----_-- RED A BLACK SYMBOL (252) (450) 600 C 536 (108) 144 M-- (153) 204 >| + (288) 384 ----»,"Drawing No. Related Drawing (©) CROWN COPYRIGHT P 622.6 S 8 NOTES: 1. Symbol details are given on drawing S 8. 2. The tile outline does not form part of the sign. (45) 60 y 3. COLOURS : Background —-—— WHITE Border —-—-—_—— RED a BLACK Symbol (252) (450) 600 C 536 (108) 144 M—— (153) 204 >| + (288) 384 ————» Before using this drawing, confirm P622x6 that it has not been superseded. Title: Regulatory Sign Issue: Date: Drawn by: Dimensions: Drawing No. Department for A 5.7.94 S.P. RIDDEN OR ACCOMPANIED B MILLIMETRES Transport HORSES PROHIBITED 16.7.04 Approved by P 622.6 Cc R.M. "
p629x1,600,750 900,,"BACKGROUND ------------ WHITE. BORDER --------------- RED LEGEND, SYMBOL & ARROWS --- BLACK 6. THE LEGEND, EXCLUDING THE ‘INCHES’ SYMBOL, IS CENTRED HORIZONTALLY ABOVE THE ARROWS. 7. SEE SHEET 2 FOR","Drawing No. Related Drawing P 629.1 |S 92 Sheet | 310 Sheet 1 of 2 © CROWN COPYRIGHT NOTES: 1. All 600mm dia sign dimensions shall be varied proportionally for the other roundel sizes. 2. The legend is from the Transport Heavy alphabet at the x—heights shown. 3. Lorry symbol details are given on drawing S 32 sheet 1. 4. The tile outlines do not form part of the sign. 5. COLOURS : Background -----------— WHITE. Border --------------— RED Legend, Symbol & Arrows ——— BLACK 6. The legend, excluding the ‘inches’ symbol, is centred horizontally above the arrows. 7. See sheet 2 for metric sign. 50 x—ht (62.5) (75) Issue C : Note 6 added 600 (750) (900) Before using this drawing, confirm P629x1-1 that it has not been superseded. Department for Title: Regulatory Sign Issue: Date: | Drawn by: Dimensions: Drawing No. A: 19.7.94 S.P. Transport VEHICLE LENGTH LIMIT B: 257.95 | Approved by:| MILLIMETRES P 629.1 (Imperial) C: 287.04 R.M. Sheet 1 of 2 "
p629a,750,900 1200,,LEGEND & SYMBOLS --- BLACK BACKGROUND ----------- WHITE BORDER ----------- RED,"Drawing No. P 629A P629A 750 (900) (1200) —————-+| NOTES: — 1. © CROWN COPYRIGHT The legend is from the Transport Heavy alphabet. . The tile outlines do not form part of the sign. . The width limit may be varied to suit the requirements. . All 750mm dia sign dimensions, including the x—height, shall be varied proportionally for the other roundel sizes. . COLOURS : Legend & Symbols ——— BLACK Background -—--—--—-—— WHITE Border -—--------— RED Before using this drawing, confirm that it has not been superseded. Department for Transport Title: Regulatory Sign VEHICLE WIDTH LIMIT (Metric and Imperial) Issue: A: Date: 3.7.03 Drawn by: R.M. Approved by: R.M. Dimensions: Drawing No. MILLIMETRES P 5 29 A "
p629x2a,750,900 1200 1500,,BACKGROUND --~------- WHITE. BORDER ------------ RED LEGEND & SYMBOLS --- BLACK 100 X-HT 1.5 SW (4SW = X-HEIGHT) (BASED ON SMALL CHARACTERS) I 750 (900)(1200) (1500) ----+},"Drawing No. © CROWN COPYRIGHT P 629.2A 1. All 750mm dia sign dimensions, including the x—heights, shall be varied proportionally for the other roundel sizes. 2. The legend is from the Transport Heavy alphabet. 3. The tile outlines do not form part of the sign. 25 4. COLOURS : Background -—~---—--— WHITE. Border ------—----— RED Legend & Symbols —-— BLACK 100 x-ht 1.5 sw (4sw = x—height) (based on small characters) I 750 (900)(1200) (1500) ————+} Before using this drawing, confirm P629x2A that it has not been superseded. Department for Title : Regulatory Sign Issue: Date: | Drawn by: Dimensions: | Drawing No. A: 20.7.94 S.P. Transport VEHICLE HEIGHT LIMIT 8: 287.06 approved vy:| (atrore wane | P BQO DA (Metric and Imperial) Cc: R.M. where indicated) "
p955,450,150 270 300 600,,BACKGROUND -----~-- BLUE BORDER & SYMBOL --- WHITE 210,"Drawing No. Related Drawing P 955 S24 357 Equal (150) (270) (300) — 450 (600) C | | | | P955 Equal NOTES: 1. © CROWN COPYRIGHT All 450mm dia sign dimensions shall be varied proportionally for the other roundel sizes. Symbol details are given on drawing S 24. . The tile outline does not form part of the sign. . COLOURS : Background —----~-— BLUE Border & Symbol ——— WHITE 210 Before using this drawing, confirm that it has not been superseded. Department for Transport Title: Regulatory Sign ROUTE FOR USE BY PEDAL CYCLES ONLY Issue: A: B: Cc: Date: 6.7.94 4.8.04 14.11.11 Drawn by : S.P. Approved by: R.M. Dimensions : MILLIMETRES Drawing No. P 955 "
p956,150,100 150 270 300 600,,BACKGROUND ------- BLUE BORDER & SYMBOLS --- WHITE 150 (100) (150) 1 (270) {FF AAN (300) 450 (600) 210 | 36 T = 135 135,"Drawing No. Related Drawings P 956 |S 24 & S 3 255 © CROWN COPYRIGHT NOTES: 1. All 450mm dia sign dimensions shall be varied ¢ proportionally for the other roundel sizes. Equal t Equal 2. Cycle and pedestrian symbol details are given on drawings S 24 and S 3 respectively. 39 3. The tile outlines do not form part of the sign. 4. COLOURS : Background ------- BLUE Border & Symbols ——— WHITE 150 (100) (150) 1 (270) {ff aan (300) 450 (600) 210 | 36 T = 135 135 Before using this drawing, confirm P956 that it has not been superseded. Department for Title: Regulatory Sign sesue bcs “enn by: Dimensions : | Drawing No. ROUTE FOR USE BY PEDAL CYCLES : - “ ranspor B: 5.8.04] Approved by:| MILLIMETRES P 9 5 5 & PEDESTRIANS ONLY (unsegregated)] 6. aan! aM "
p956x1,450,600,,BACKGROUND --------- BLUE BORDER & SYMBOLS --- WHITE 450 (600),"Drawing No. Related Drawings NP 956.1 S$ 24,S8&S 3 175 NOTES: 1. © CROWN COPYRIGHT All 450mm dia sign dimensions shall be varied proportionally for the 600mm roundel size. . Cycle, horse & rider and pedestrian symbol details are given on drawings S 24, S 8 and S 3 respectively. 3. The tile outlines do not form part of the sign. 4. COLOURS : Background —---—--—— BLUE Border & Symbols ——— WHITE 450 (600) Before using this drawing, confirm NP956x1 that it has not been superseded. Department for Title: Regulatory Sign Issue: Date: | Drawn by: Dimensions: Drawing No. ROUTE FOR USE BY PEDAL CYCLES | 8) 71907) Lt Transport 8 roproved by:| muuimerRes | \|P O56. | P HORSES & PEDESTRIANS ONLY °. fae . "
p956x2,450,270 300 600 750,,@ 50) BACKGROUND ------- BLUE (270) BORDER & SYMBOLS ---- WHITE (300) 450 (600) (750) | 153 | 306 P956X2 © CROWN COPYRIGHT TITLE: REGULATORY SIGN ISSUE: DATE: DRAWN BY : RELATED DRAWINGS : DRAWING NO.,"Before using this drawing, confirm P 956. 2 that it has not been superseded. ¢ NOTES: 1. All 450mm dia sign dimensions shall be varied proportionally for the other roundel sizes. 2. Cycle, horse—drawn vehicle and pedestrian symbol details are given on drawings S 24, S$ 15 and S 3 respectively. 3. The tile outlines do not form part of the sign. 4. All dimensions are in millimetres. (1 00) 5. COLOURS: @ 50) Background —-----— BLUE (270) Border & Symbols ——-— WHITE (300) 450 (600) (750) | 153 | 306 P956x2 © CROWN COPYRIGHT Title: Regulatory Sign Issue: Date: Drawn by : Related drawings : Drawing No. A: 25.4.23 A.K. ROUTE FOR USE BY PEDAL CYCLES S 24, S 15 Department , B: Approved by: , for Transport HORSE-DRAWN VEHICLES & PEDESTRIANS | ¢, JB. &S 3 P 956.2 "
p957,450,100 150 270 300 600,,"BACKGROUND ------~-- BLUE BORDER & SYMBOLS --- WHITE (100) (150) (270) 189 (300) 450 (600) Y_ 150 THE SIGN MAY BE VARIED TO A MIRROR IMAGE 204 ,. 21 | 121.5 15","Drawing No. Related Drawings P 957 (|S 24 «&5S 3 ¢ © CROWN COPYRIGHT NOTES: 1. All 450mm dia sign dimensions shall be varied proportionally for the other roundel sizes. 2. Cycle and pedestrian symbol details are given on drawings S 24 and S 3 respectively. 3. The tile outlines do not form part of the sign. 4. COLOURS : Background —-----~-- BLUE Border & Symbols ——— WHITE (100) (150) (270) 189 (300) 450 (600) Y_ 150 THE SIGN MAY BE VARIED TO A MIRROR IMAGE 204 ,. 21 | 121.5 15 Before using this drawing, confirm P957 that it has not been superseded. Department for Title: Regulatory Sign sesue bcs “enn by: Dimensions : | Drawing No. ROUTE FOR USE BY PEDAL CYCLES : . “ ranspor B: 12.8.04} Approved by:| MILLIMETRES P ie) 5 7 & PEDESTRIANS ONLY (segregated) | co. aul orm "
p953,750,450 600 900,,"BACKGROUND © CROWN COPYRIGHT ALL 750MM DIA SIGN DIMENSIONS, INCLUDING THE X-HEIGHT OF THE WORD ‘TAXI’, SHALL BE VARIED PROPORTIONALLY FOR THE OTHER ROUNDEL SIZES. . THE LEGEND IS FROM THE TRANSPORT","Drawing No. Related Drawings Pp 953 S 24 & S 25 Sheets 1 & 2 (450) (600) 750 (900) P953 NOTES: — 1. 2. 3. 4. 156 5 45 6 — 203 70 62.5 x—ht . COLOURS : Background © CROWN COPYRIGHT All 750mm dia sign dimensions, including the x—height of the word ‘taxi’, shall be varied proportionally for the other roundel sizes. . The legend is from the Transport Medium alphabet. . Details of the symbols are given on drawings S 24 and S 25 sheet 1. . The tile outlines do not form part of the sign. . VARIANTS : The word ‘taxi’, the cycle symbol or both may be omitted, with no change in the position of the remaining sign elements. The bus symbol may be varied to the ‘local bus’ symbol shown on drawing S 25 sheet 2. —- BLUE Border, Symbols & ‘taxi’ --— WHITE Before using this drawing, confirm that it has not been superseded. Department for Transport Title: Regulatory Sign BUS, CYCLE AND TAXI ROUTE ONLY Issue: Date: | Drawn by 6.7.94 S.P. 8.7.04 R.M. Dimensions: Drawing No. Approved by:| MILLIMETRES Pp 9 5 3 "
p953a,750,450 600 900,,BACKGROUND -------- BLUE 156 BORDER & SYMBOLS --- WHITE 5. THE BUS SYMBOL MAY BE VARIED TO THE YO ‘LOCAL BUS’ SYMBOL SHOWN ON DRAWING S 25 45 SHEET 2. (450) (600) 203 750 (900) 30 187.5 66 BEFORE USIN,"Drawing No. Related Drawings © CROWN COPYRIGHT NP O53A S 23, S 24 & S 25 NOTES: 1. All 750mm dia sign dimensions shall be varied proportionally for the other roundel sizes. { 2. Details of the symbols are given on drawings S 23, S 24 and S 25 sheet 1. 62.5 3. The tile outlines do not form part of the sign. 4. COLOURS : Background -—-----— BLUE 156 Border & Symbols —-— WHITE 5. The bus symbol may be varied to the yo ‘local bus’ symbol shown on drawing S 25 45 sheet 2. (450) (600) 203 750 (900) 30 187.5 66 Before using this drawing, confirm NP953A that it has not been superseded. Department for Title: Regulatory Sign Issue: Date: | Drawn by: Dimensions: Drawing No. A: 15.8.05 R.M. Tr n r BUS, CYCLE AND B: roved by:| MILLIMETRES ansport | oo \otor cycle ROUTE =. Aoproved by NP 953A "
p953b,,,x,BACKGROUND ---------- BLUE BORDER & SYMBOLS ---- WHITE ‘TAXI’ ----------- WHITE . THE BUS SYMBOL MAY BE VARIED TO THE ‘LOCAL BUS’ SYMBOL SHOWN ON DRAWING S 25 SHEET 2. EQUAL EQUAL | OXD {60} ¢ |,"Drawing No. Related Drawings S 24, S 25 NP 953B | % $26 560 NP953B NOTES: 1. © CROWN COPYRIGHT The legend is from the Transport Medium alphabet at the x—height shown. . Details of the symbols are given on drawings S 24, S 25 sheet 1 and S 26. . The tile outlines do not form part of the sign. . COLOURS : Background —--—-—-—-— BLUE Border & Symbols —-—— WHITE ‘taxi’ ----------- WHITE . The bus symbol may be varied to the ‘local bus’ symbol shown on drawing S 25 sheet 2. Equal Equal | Oxd {60} ¢ | | | | Before using this drawing, confirm that it has not been superseded. Department for Transport Title: Regulatory Sign BUS, SOLO MOTOR CYCLE, CYCLE and TAX! ROUTE Issue: A: B: Cc: Date: 31.5.06 Drawn by: R.M. Approved by: R.M. Dimensions: Drawing No. MILLIMETRES NP 95 4B "
p953x1,750,450 900,,BACKGROUND -------- BLUE BORDER & SYMBOL --- WHITE 5. SEE SHEET 2 FOR VARIANT SHOWING BOTH TRAM AND BUS SYMBOL. (450) 750 (900),"Drawing No. — Pali © CROWN COPYRIGHT . NOTES: — 1. All 750mm dia sign dimensions shall be varied Sheet 1 of 2 625 proportionally for the other roundel sizes. 2. Tram symbol details are given on drawing S 26. 3. The tile outline does not form part of the sign. 4. COLOURS : Background -----—-— BLUE Border & Symbol ——— WHITE 5. See sheet 2 for variant showing both tram and bus symbol. (450) 750 (900) Before using this drawing, confirm P953x1-1 that it has not been superseded. Title: ‘ Issue: Date: | Drawn by: Dimensions: Drawing No. Regulatory Sign ys 9 Department for a: 704| Sp. P 9531 Transpor f | ROUTE FOR TRAMS ONLY | & 8704] Approved by:} MILLIMETRES Cc: R.M. Sheet 1 of 2 "
np953x1c,,,x,BACKGROUND ----------- BLUE BORDER & SYMBOLS ---- WHITE ‘TAXI’ ----------- WHITE . THE BUS SYMBOL MAY BE VARIED TO THE ‘LOCAL BUS’ SYMBOL SHOWN ON DRAWING S 25 SHEET 2.,"Drawing No. NP 953.1B Related Drawings S 23, S 24, S25 & S 26 200 | #4 | 130 |u| NP953x1B NOTES: 1. © CROWN COPYRIGHT The legend is from the Transport Medium alphabet at the x—height shown. . Details of the symbols are given on drawings S 23, S 24, S 25 sheet 1 and S 26. . The tile outlines do not form part of the sign. . COLOURS : Background —--—-—-—-—— BLUE Border & Symbols —-—— WHITE ‘taxi’ ----------- WHITE . The bus symbol may be varied to the ‘local bus’ symbol shown on drawing S 25 sheet 2. Before using this drawing, confirm that it has not been superseded. Department for Transport Title: Regulatory Sign CYCLE and TAXI TRAM, BUS, SOLO MOTOR CYCLE, ROUTE Issue: A: B: Cc: Date: 31.5.06 Drawn by: R.M. Approved by: R.M. Dimensions: Drawing No. MILLIMETRES} KID Q53 1B "
traffic-sign-drawing-schedule-03-part-03-legends-for-plates,,,x,"BACKGROUND ---------- WHITE. LEGEND & BORDER ---- BLACK DIMENSIONS : X-HEIGHTS ARE IN MILLIMETRES, OTHER DIMENSIONS ARE IN STROKE WIDTHS. (4SW = X-HEIGHT) SEE SECTION 12 IN CHAPTER 7 OF THE TRAFFIC","Drawing No. Before using this drawing, confirm Pp 61 8 that it has not been superseded. N a si RE LS) a (375) (62.5) 50 x-ht alae NOTES: — 1. aaa a © CROWN COPYRIGHT The legend is from the Transport Heavy alphabet at the x-heights shown. The tile outlines do not form part of the signs. COLOURS : Background -—--—-—-—— WHITE. Legend & Border —-—— BLACK DIMENSIONS : x—heights are in millimetres, other dimensions are in stroke widths. (4sw = x—height) See section 12 in Chapter 7 of the Traffic Signs Manual for further details of time plate design. N |"" 4 7 Play j Street &. Sam it sunset except for acGess VARIANT P618 Department for Title: Regulatory Sign Issue: Date: | Drawn by: Dimensions: Drawing No. SUPPLEMENTARY PLATE Ai 26.794] RM. SEE Transport @: 1212.02| approved by: P FOR USE WITH P 617 c: | NOTE 4 P 618 "
p636_document,200,275 160,,200 (275) 30 (40) [SO (80) => |---| 120 (160) VARIANT 275 DIA USED ON TEMPORARY STAND ROUNDEL & BAR ------- ROUNDEL BACKGROUND ARROW ---------- BACKGROUND TO SIGN --- YELLOW 200 DIA USED ON PO,"Drawing No. P 636 Before using this drawing, confirm that it has not been superseded. ¢ P636 © CROWN COPYRIGHT NOTES:— 1. The 200mm dia sign dimensions shall be varied proportionally for the 275mm dia sign. 2. COLOURS : 200 (275) 30 (40) [so (80) => |-—-| 120 (160) VARIANT 275 dia used on temporary stand Roundel & Bar —---——— Roundel background Arrow —---—----— Background to sign ——— YELLOW 200 dia used on police cone and si (legen hown with P 636.1 d from Transport heavy alphabet) Issue C : Bracketed dimensions on roundel removed (see note 1) Department for Transport Title: Regulatory Sign TEMPORARY PROHIBITION OF WAITING Issue: Date: Drawn by : A: 20.7.94 S.P. C: 27.8.04 | Approved by: D: 15.7.15 R.M. Dimensions : MILLIMETRES Drawing No. P 6356 "
p650x2_document,,,x,"BACKGROUND --------- YELLOW LEGEND & BORDER ------- BLACK ROUNDEL SYMBOL -------- RED ROUNDEL BACKGROUND --- BLUE 5. DIMENSIONS : X-HEIGHTS ARE IN MILLIMETRES, OTHER DIMENSIONS ARE IN STROKE WIDTHS.","Drawing No. Related Drawing © CROWN COPYRIGHT P 650.2 |_P 656 NOTES: 1. The legend is from the Transport Heavy alphabet at the x—heights shown. 2. The tile outlines do not form part of the signs. 3. The roundel is proportional to the one shown on drawing P 636. 4. COLOURS : Background —-----—-— YELLOW Legend & Border -—-—-—— BLACK Roundel symbol ----—-—— RED Roundel background ——— BLUE 5. DIMENSIONS : x—heights are in millimetres, other dimensions are in stroke widths. (4sw = x—height) | . 6. See section 12 in Chapter 7 of the Traffic Signs t Manual for further details of time plate design. 1.5 6.5 6.5 No waiting Tipm- 5 am 2 * except 1.5 PAR Tr | *This dimension is reduced to zero when time period is varied to ‘at any time’ Before using this drawing, confirm P650x2 that it has not been superseded. Title: Regulatory Signs Issue: Date: | Drawn by: Dimensions: Drawing No. Department for PROHIBITION ON WAITING Ai 22.794) SP. SEE Transport OTHER THAN VEHICLES INDICATED | ¢. | ?proee®y:| NOTE 5 P 650.2 "
p642_document,600,300 450 750 900 1200,,ROUNDEL & BARS ------ RED ROUNDEL BACKGROUND --- BLUE 60 OS LS (300) (450) 600 _ _ _ _ _ _ _ _ (750) (900) (1200) C2,"Drawing No. © CROWN COPYRIGHT P 642 NOTES: 1. All 600mm dia sign dimensions shall be varied ¢ proportionally for the other roundel sizes. 2. COLOURS : Roundel & Bars —-—--— RED Roundel background ——— BLUE 60 OS Ls (300) (450) 600 _ _ _ _ _ _ _ _ (750) (900) (1200) C2 Before using this drawing, confirm P642 that it has not been superseded. Title: Regulatory Sign Issue: Date: | Drawn by: Dimensions: Drawing No. Department for A: 21.7.94 S.P. NO STOPPING 278 voved by:| MILLIMETRES Transport ON MAIN CARRIAGEWAY oo eM P 642 "
