code,name,family,file,size,notes
501-52,"Überleitungstafel - ohne Gegenverkehr - 4-streifig nach links, davon 1 Fahrstreifen übergeleitet",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_NACH_LINKS_DAVON_1_FAH_501-52.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-501/501-52.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
501-53,"Überleitungstafel - ohne Gegenverkehr - 4-streifig nach links, davon 2 Fahrstreifen übergeleitet",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_NACH_LINKS_DAVON_2_FAH_501-53.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-501/501-53.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
501-54,"Überleitungstafel - ohne Gegenverkehr - 4-streifig nach links, davon 3 Fahrstreifen übergeleitet",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_NACH_LINKS_DAVON_3_FAH_501-54.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-501/501-54.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
501-60,"Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon die beiden linken Fahrstreifen nach rechts übergeleitet und die beiden rechten Fahrstreifen geradeaus",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_DAVON_DIE_BEIDEN_LINKE_501-60.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-501/501-60.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
501-61,"Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon die drei linken Fahrstreifen nach rechts übergeleitet und rechter Fahrstreifen geradeaus",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_DAVON_DIE_DREI_LINKEN__501-61.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-501/501-61.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
501-62,"Überleitungstafel - ohne Gegenverkehr - 4-streifig nach rechts, davon 1 Fahrstreifen übergeleitet",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_NACH_RECHTS_DAVON_1_FA_501-62.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-501/501-62.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
501-63,"Überleitungstafel - ohne Gegenverkehr - 4-streifig nach rechts, davon 2 Fahrstreifen übergeleitet",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_NACH_RECHTS_DAVON_2_FA_501-63.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-501/501-63.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
501-64,"Überleitungstafel - ohne Gegenverkehr - 4-streifig nach rechts, davon 3 Fahrstreifen übergeleitet",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_NACH_RECHTS_DAVON_3_FA_501-64.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-501/501-64.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
501-70,"Überleitungstafel - ohne Gegenverkehr - 2-streifig, davon linker Fahrstreifen nach links übergeleitet und rechter Fahrstreifen nach rechts verschwenkt",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_2_STREIFIG_DAVON_LINKER_FAHRSTREI_501-70.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-501/501-70.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
501-71,"Überleitungstafel - ohne Gegenverkehr - 3-streifig, davon linker Fahrstreifen nach links übergeleitet und die beiden rechten Fahrstreifen nach rechts verschwenkt",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_3_STREIFIG_DAVON_LINKER_FAHRSTREI_501-71.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-501/501-71.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
501-72,"Überleitungstafel - ohne Gegenverkehr - 3-streifig, davon die beiden linken Fahrstreifen nach links übergeleitet und rechter Fahrstreifen nach rechts verschwenkt",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_3_STREIFIG_DAVON_DIE_BEIDEN_LINKE_501-72.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-501/501-72.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
501-73,"Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon linker Fahrstreifen nach links übergeleitet und die drei rechten Fahrstreifen nach rechts verschwenkt",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_DAVON_LINKER_FAHRSTREI_501-73.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-501/501-73.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
501-74,"Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon die beiden linken Fahrstreifen nach links übergeleitet und die beiden rechten Fahrstreifen nach rechts verschwenkt",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_DAVON_DIE_BEIDEN_LINKE_501-74.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-501/501-74.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
501-75,"Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon die drei linken Fahrstreifen nach links übergeleitet und rechter Fahrstreifen nach rechts verschwenkt",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_DAVON_DIE_DREI_LINKEN__501-75.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-501/501-75.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
501-80,"Überleitungstafel - ohne Gegenverkehr - 2-streifig, davon linker Fahrstreifen nach rechts übergeleitet und rechter Fahrstreifen nach links verschwenkt",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_2_STREIFIG_DAVON_LINKER_FAHRSTREI_501-80.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-501/501-80.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
501-81,"Überleitungstafel - ohne Gegenverkehr - 3-streifig, davon linker Fahrstreifen nach rechts übergeleitet und die beiden rechten Fahrstreifen nach links verschwenkt",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_3_STREIFIG_DAVON_LINKER_FAHRSTREI_501-81.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-501/501-81.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
501-82,"Überleitungstafel - ohne Gegenverkehr - 3-streifig, davon die beiden linken Fahrstreifen nach rechts übergeleitet und rechter Fahrstreifen nach links verschwenkt",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_3_STREIFIG_DAVON_DIE_BEIDEN_LINKE_501-82.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-501/501-82.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
501-83,"Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon linker Fahrstreifen nach rechts übergeleitet und die drei rechten Fahrstreifen nach links verschwenkt",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_DAVON_LINKER_FAHRSTREI_501-83.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-501/501-83.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
501-84,"Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon die beiden linken Fahrstreifen nach rechts übergeleitet und die beiden rechten Fahrstreifen nach links verschwenkt",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_DAVON_DIE_BEIDEN_LINKE_501-84.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-501/501-84.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
501-85,"Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon die drei linken Fahrstreifen nach rechts übergeleitet und rechter Fahrstreifen nach links verschwenkt",Richtzeichen (guide),UEBERLEITUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_DAVON_DIE_DREI_LINKEN__501-85.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-501/501-85.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 160 x 160 cm; name from official list"
511-13,Verschwenkungstafel - ohne Gegenverkehr - 4-streifig nach links,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_NACH_LINKS_511-13.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-511/511-13.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
511-23,Verschwenkungstafel - ohne Gegenverkehr - 4-streifig nach rechts,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIG_NACH_RECHTS_511-23.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-511/511-23.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
511-27,"Verschwenkungstafel - ohne Gegenverkehr - 3-streifige Verschwenkung, 1-streifig auf den Seitenstreifen",Richtzeichen (guide),VERSCHWENKUNGSTAFEL_OHNE_GEGENVERKEHR_3_STREIFIGE_VERSCHWENKUNG_1_STRE_511-27.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-511/511-27.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
511-28,"Verschwenkungstafel - ohne Gegenverkehr - 4-streifige Verschwenkung, 1-streifig auf den Seitenstreifen",Richtzeichen (guide),VERSCHWENKUNGSTAFEL_OHNE_GEGENVERKEHR_4_STREIFIGE_VERSCHWENKUNG_1_STRE_511-28.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-511/511-28.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
512-10,Verschwenkungstafel - mit Gegenverkehr – Verschwenkung nach links 1-streifig in Fahrtrichtung und 1-streifig in Gegenrichtung,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_MIT_GEGENVERKEHR_VERSCHWENKUNG_NACH_LINKS_1_STREIF_512-10.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-512/512-10.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
512-11,Verschwenkungstafel - mit Gegenverkehr – Verschwenkung nach links 1-streifig in Fahrtrichtung und 2-streifig in Gegenrichtung,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_MIT_GEGENVERKEHR_VERSCHWENKUNG_NACH_LINKS_1_STREIF_512-11.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-512/512-11.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
512-12,Verschwenkungstafel - mit Gegenverkehr – Verschwenkung nach links 2-streifig in Fahrtrichtung und 1-streifig in Gegenrichtung,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_MIT_GEGENVERKEHR_VERSCHWENKUNG_NACH_LINKS_2_STREIF_512-12.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-512/512-12.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
512-20,Verschwenkungstafel - mit Gegenverkehr – Verschwenkung nach rechts 1-streifig in Fahrtrichtung und 1-streifig in Gegenrichtung,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_MIT_GEGENVERKEHR_VERSCHWENKUNG_NACH_RECHTS_1_STREI_512-20.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-512/512-20.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
512-21,Verschwenkungstafel - mit Gegenverkehr – Verschwenkung nach rechts 1-streifig in Fahrtrichtung und 2-streifig in Gegenrichtung,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_MIT_GEGENVERKEHR_VERSCHWENKUNG_NACH_RECHTS_1_STREI_512-21.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-512/512-21.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
512-22,Verschwenkungstafel - mit Gegenverkehr – Verschwenkung nach rechts 2-streifig in Fahrtrichtung und 1-streifig in Gegenrichtung,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_MIT_GEGENVERKEHR_VERSCHWENKUNG_NACH_RECHTS_2_STREI_512-22.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-512/512-22.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
513-12,Verschwenkungstafel kurze Verschwenkung - ohne Gegenverkehr - 3-streifig nach links,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_KURZE_VERSCHWENKUNG_OHNE_GEGENVERKEHR_3_STREIFIG_N_513-12.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-513/513-12.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
513-13,Verschwenkungstafel kurze Verschwenkung - ohne Gegenverkehr - 4-streifig nach links,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_KURZE_VERSCHWENKUNG_OHNE_GEGENVERKEHR_4_STREIFIG_N_513-13.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-513/513-13.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
513-14,Verschwenkungstafel kurze Verschwenkung - ohne Gegenverkehr - 5-streifig nach links,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_KURZE_VERSCHWENKUNG_OHNE_GEGENVERKEHR_5_STREIFIG_N_513-14.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-513/513-14.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
513-22,Verschwenkungstafel kurze Verschwenkung - ohne Gegenverkehr - 3-streifig nach rechts,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_KURZE_VERSCHWENKUNG_OHNE_GEGENVERKEHR_3_STREIFIG_N_513-22.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-513/513-22.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
513-23,Verschwenkungstafel kurze Verschwenkung - ohne Gegenverkehr - 4-streifig nach rechts,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_KURZE_VERSCHWENKUNG_OHNE_GEGENVERKEHR_4_STREIFIG_N_513-23.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-513/513-23.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
513-24,Verschwenkungstafel kurze Verschwenkung - ohne Gegenverkehr - 5-streifig nach rechts,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_KURZE_VERSCHWENKUNG_OHNE_GEGENVERKEHR_5_STREIFIG_N_513-24.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-513/513-24.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
514-11,Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr – nach links 2- streifig in Fahrtrichtung und 1-streifig in Gegenrichtung,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_KURZE_VERSCHWENKUNG_MIT_GEGENVERKEHR_NACH_LINKS_2__514-11.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-514/514-11.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
514-12,Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr – nach links 3- streifig in Fahrtrichtung und 1-streifig in Gegenrichtung,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_KURZE_VERSCHWENKUNG_MIT_GEGENVERKEHR_NACH_LINKS_3__514-12.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-514/514-12.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
514-13,Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr – nach links 1- streifig in Fahrtrichtung und 2-streifig in Gegenrichtung,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_KURZE_VERSCHWENKUNG_MIT_GEGENVERKEHR_NACH_LINKS_1__514-13.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-514/514-13.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
514-14,Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr – nach links 2- streifig in Fahrtrichtung und 2-streifig in Gegenrichtung,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_KURZE_VERSCHWENKUNG_MIT_GEGENVERKEHR_NACH_LINKS_2__514-14.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-514/514-14.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
514-15,Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr – nach links 3- streifig in Fahrtrichtung und 2-streifig in Gegenrichtung,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_KURZE_VERSCHWENKUNG_MIT_GEGENVERKEHR_NACH_LINKS_3__514-15.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-514/514-15.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
514-16,Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr – nach links 1- streifig in Fahrtrichtung und 3-streifig in Gegenrichtung,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_KURZE_VERSCHWENKUNG_MIT_GEGENVERKEHR_NACH_LINKS_1__514-16.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-514/514-16.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
514-17,Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr – nach links 2- streifig in Fahrtrichtung und 3-streifig in Gegenrichtung,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_KURZE_VERSCHWENKUNG_MIT_GEGENVERKEHR_NACH_LINKS_2__514-17.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-514/514-17.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
514-18,Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr – nach links 3- streifig in Fahrtrichtung und 3-streifig in Gegenrichtung,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_KURZE_VERSCHWENKUNG_MIT_GEGENVERKEHR_NACH_LINKS_3__514-18.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-514/514-18.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
514-21,Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr – nach rechts 2- streifig in Fahrtrichtung und 1-streifig in Gegenrichtung,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_KURZE_VERSCHWENKUNG_MIT_GEGENVERKEHR_NACH_RECHTS_2_514-21.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-514/514-21.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
514-22,Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr – nach rechts 3- streifig in Fahrtrichtung und 1-streifig in Gegenrichtung,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_KURZE_VERSCHWENKUNG_MIT_GEGENVERKEHR_NACH_RECHTS_3_514-22.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-514/514-22.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
514-23,Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr – nach rechts 1- streifig in Fahrtrichtung und 2-streifig in Gegenrichtung,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_KURZE_VERSCHWENKUNG_MIT_GEGENVERKEHR_NACH_RECHTS_1_514-23.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-514/514-23.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
514-24,Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr – nach rechts 2- streifig in Fahrtrichtung und 2-streifig in Gegenrichtung,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_KURZE_VERSCHWENKUNG_MIT_GEGENVERKEHR_NACH_RECHTS_2_514-24.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-514/514-24.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
514-25,Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr – nach rechts 3- streifig in Fahrtrichtung und 2-streifig in Gegenrichtung,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_KURZE_VERSCHWENKUNG_MIT_GEGENVERKEHR_NACH_RECHTS_3_514-25.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-514/514-25.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
514-26,Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr – nach rechts 1- streifig in Fahrtrichtung und 3-streifig in Gegenrichtung,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_KURZE_VERSCHWENKUNG_MIT_GEGENVERKEHR_NACH_RECHTS_1_514-26.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-514/514-26.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
514-27,Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr – nach rechts 2- streifig in Fahrtrichtung und 3-streifig in Gegenrichtung,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_KURZE_VERSCHWENKUNG_MIT_GEGENVERKEHR_NACH_RECHTS_2_514-27.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-514/514-27.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
514-28,Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr – nach rechts 3- streifig in Fahrtrichtung und 3-streifig in Gegenrichtung,Richtzeichen (guide),VERSCHWENKUNGSTAFEL_KURZE_VERSCHWENKUNG_MIT_GEGENVERKEHR_NACH_RECHTS_3_514-28.svg,1600x1600 mm,"VLT 2021: VLT 2021/Z-514/514-28.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
527-30,Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 262 - 2-streifig in Fahrtrichtung,Richtzeichen (guide),FAHRSTREIFENTAFEL_OHNE_GEGENVERKEHR_MIT_INTEGRIERTEN_ZEICHEN_262_2_STR_527-30.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-527/527-30.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
527-31,Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 262 - 3-streifig in Fahrtrichtung,Richtzeichen (guide),FAHRSTREIFENTAFEL_OHNE_GEGENVERKEHR_MIT_INTEGRIERTEN_ZEICHEN_262_3_STR_527-31.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-527/527-31.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
528-30,Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 263 - 2-streifig in Fahrtrichtung,Richtzeichen (guide),FAHRSTREIFENTAFEL_OHNE_GEGENVERKEHR_MIT_INTEGRIERTEN_ZEICHEN_263_2_STR_528-30.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-528/528-30.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
528-31,Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 263 - 3-streifig in Fahrtrichtung,Richtzeichen (guide),FAHRSTREIFENTAFEL_OHNE_GEGENVERKEHR_MIT_INTEGRIERTEN_ZEICHEN_263_3_STR_528-31.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-528/528-31.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
529-30,Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 265 - 2-streifig in Fahrtrichtung,Richtzeichen (guide),FAHRSTREIFENTAFEL_OHNE_GEGENVERKEHR_MIT_INTEGRIERTEN_ZEICHEN_265_2_STR_529-30.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-529/529-30.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
529-31,Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 265 - 3-streifig in Fahrtrichtung,Richtzeichen (guide),FAHRSTREIFENTAFEL_OHNE_GEGENVERKEHR_MIT_INTEGRIERTEN_ZEICHEN_265_3_STR_529-31.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-529/529-31.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
531-14,"Einengungstafel - ohne Gegenverkehr - Einzug rechts, von 3 auf 1 Fahrstreifen",Richtzeichen (guide),EINENGUNGSTAFEL_OHNE_GEGENVERKEHR_EINZUG_RECHTS_VON_3_AUF_1_FAHRSTREIF_531-14.svg,1250x1600 mm,"VLT 2021: VLT 2021/Z-531/531-14.eps; DV-Vision EPS at 1:1 (1 pt = 0.3528 mm), DVK extent 125 x 160 cm; name from official list"
