sign_no,description,title,standard,council,legislation,reference,references2,notes,plan,image,pdf,local,slug
R6-17,Bridge Load Limit (Per Axle Group),R6-17 - Bridge Load Limit (Per Axle Group),Yes,Yes – available .,NSW Road Rules 103,AS 1742.1 (General Index),AS 1742.2 (Devices),-,Bridge Load Limit (Per Axle Group) sign design plan Published 15 Jun 2023 PDF 185.89 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r6-17.gif?itok=mKtR8W3n,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r6-17.pdf,Original PDFs/r6-17.pdf,r6-17-bridge-load-limit-per-axle-group
T4-213-1n,Cyclists Race In Progress,T4-213-1n - Cyclists Race In Progress,No,Yes - available.,-,NSW Guidelines for Bicycle Road Races,,-,Cyclists Race In Progress - t4-213-1n sign design plan Published 15 Jun 2023 PDF 245.82 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t4-213-1n.gif?itok=pjXtj0lw,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t4-213-1n.pdf,Original PDFs/t4-213-1n.pdf,t4-213-1n-cyclists-race-progress
T4-1n,Blasting Stop Await Signal,T4-1n - Blasting Stop Await Signal,No,Yes - available.,NA,Traffic Control at Worksites (Roads and Maritime Services),,-,Blasting Stop Await Signal sign design plan Published 15 Jun 2023 PDF 217.75 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t4-1n.gif?itok=MbBJK6ad,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t4-1n.pdf,Original PDFs/t4-1n.pdf,t4-1n-blasting-stop-await-signal
T3-9,Loose Stones - Avoid Windscreen Damage (symbolic),T3-9 - Loose Stones - Avoid Windscreen Damage (symbolic),Yes,Yes - available.,NA,Traffic Control at Worksites (Roads and Maritime Services),,-,Loose Stones - Avoid Windscreen Damage (symbolic) - t3-9 sign design plan Published 15 Jun 2023 PDF 215.63 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t3-9.gif?itok=LEK-UbQZ,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t3-9.pdf,Original PDFs/t3-9.pdf,t3-9-loose-stones-avoid-windscreen-damage-symbolic
T3-3,Slippery (symbolic),T3-3 - Slippery (symbolic),Yes,Yes - available.,NA,AS1742.3,,For details please refer to AS 1743.,Slippery (symbolic) - t3-3 sign design plan Published 15 Jun 2023 PDF 204.73 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t3-3.gif?itok=U2fgG5mH,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t3-3.pdf,Original PDFs/t3-3.pdf,t3-3-slippery-symbolic
R6-18,Buses Must Enter,R6-18 - Buses Must Enter,Yes,Yes – available .,NSW Road Rules 107,AS 1742.1 (General Index),AS 1742.2 (Devices),-,Buses Must Enter sign design plan Published 15 Jun 2023 PDF 198.45 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r6-18.gif?itok=zVdfYCIh,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r6-18.pdf,Original PDFs/r6-18.pdf,r6-18-buses-must-enter
T3-7,Rough Surface,T3-7 - Rough Surface,Yes,Yes - available.,NA,Traffic Control at Worksites (Roads and Maritime Services),,-,Rough Surface - t3-7 sign design plan Published 15 Jun 2023 PDF 206.75 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t3-7.gif?itok=xZn6Puhx,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t3-7.pdf,Original PDFs/t3-7.pdf,t3-7-rough-surface
T3-6,Soft Edges,T3-6 - Soft Edges,Yes,Yes - available.,NA,Traffic Control at Worksites (Roads and Maritime Services),,-,Soft Edges - t3-6 sign design plan Published 15 Jun 2023 PDF 184.8 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t3-6.gif?itok=9XKxtFQe,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t3-6.pdf,Original PDFs/t3-6.pdf,t3-6-soft-edges
T4-213-2n,Cyclists Race In Progress (Hinged Folding Sign),T4-213-2n - Cyclists Race In Progress (Hinged Folding Sign),No,Yes - available.,-,NSW Guidelines for Bicycle Road Races,,-,Cyclists Race in Progress Published 11 Dec 2023 PDF 48.87 KB,,,,t4-213-2n-cyclists-race-progress-hinged-folding-sign
R6-240n,Trucks & Buses Must Use Left Lane,R6-240n - Trucks & Buses Must Use Left Lane,No,Yes – available .,NSW Road Rules 159,AS1742.1 (General),"AS 1742.12 (Bus, Transit and Truck Lanes)",-,Trucks & Buses Must Use Left Lane - r6-240n sign design plan Published 15 Jun 2023 PDF 77.57 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r6-240n.gif?itok=K7num5t0,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r6-240n.pdf,Original PDFs/r6-240n.pdf,r6-240n-trucks-buses-must-use-left-lane
T4-216n,Roadwork Speed Limits Enforced,T4-216n - Roadwork Speed Limits Enforced,No,Yes - available.,NA,Traffic Control at Worksites (Roads and Maritime Services),,-,Roadwork Speed Limits Enforced sign design plan Published 15 Jun 2023 PDF 208.69 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t4-216n.gif?itok=0DY_0tnx,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t4-216n.pdf,Original PDFs/t4-216n.pdf,t4-216n-roadwork-speed-limits-enforced
R6-2,No Overtaking On Bridge,R6-2 - No Overtaking On Bridge,Yes,Yes – available .,NSW Road Rules 94,AS 1742.2 (Devices),,-,No Overtaking On Bridge sign design plan Published 15 Jun 2023 PDF 126.34 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r6-2.gif?itok=owK8ieEv,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r6-2.pdf,Original PDFs/r6-2.pdf,r6-2-no-overtaking-on-bridge
T4-214n,Start Of Oil Spill,T4-214n - Start Of Oil Spill,No,Yes - available.,NA,Traffic Control at Worksites (Roads and Maritime Services),,-,Start Of Oil Spill sign design plan Published 15 Jun 2023 PDF 186.45 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t4-214n.gif?itok=E-ktJfKY,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t4-214n.pdf,Original PDFs/t4-214n.pdf,t4-214n-start-of-oil-spill
T4-215n,End Of Oil Spill,T4-215n - End Of Oil Spill,No,Yes - available.,NA,Traffic Control at Worksites (Roads and Maritime Services),,-,End Of Oil Spill sign design plan Published 15 Jun 2023 PDF 187.75 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t4-215n.gif?itok=Zmfi15_a,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t4-215n.pdf,Original PDFs/t4-215n.pdf,t4-215n-end-of-oil-spill
T4-3,End Blasting Area,T4-3 - End Blasting Area,Yes,Yes - available.,NA,Roads and Maritime Services Traffic Control at Worksites,,-,End Blasting Area - t4-3 sign design plan Published 15 Jun 2023 PDF 198.65 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t4-3.gif?itok=sC_byadb,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t4-3.pdf,Original PDFs/t4-3.pdf,t4-3-end-blasting-area
R6-245n,B-Double Dog Trailer Combination Trucks Use Left 2 Lanes (6am - 10am) Mon-Fri,R6-245n - B-Double Dog Trailer Combination Trucks Use Left 2 Lanes (6am - 10am) Mon-Fri,No,Yes – available .,NSW Road Rule 159,Project specific.,,-,B-Double Dog Trailer Combination Trucks Use Left 2 Lanes (6am - 10am) Mon-Fri sign design plan Published 15 Jun 2023 PDF 74.53 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r6-245n.gif?itok=gQ5qeyaa,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r6-245n.pdf,Original PDFs/r6-245n.pdf,r6-245n-b-double-dog-trailer-combination-trucks-use
T4-7,Blasting Area Switch Off Radio Transmitters And Mobile Phones,T4-7 - Blasting Area Switch Off Radio Transmitters And Mobile Phones,Yes,Yes - available.,NA,AS1742.3,,-,Blasting Area Switch Off Radio Transmitters And Mobile Phones sign design plan Published 15 Jun 2023 PDF 211.05 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t4-7.gif?itok=l-fwoPqR,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t4-7.pdf,Original PDFs/t4-7.pdf,t4-7-blasting-area-switch-off-radio-transmitters-and
R6-246n,All Vehicles Over 20t Gvm Or 4.5m High Must Use Right Lane,R6-246n - All Vehicles Over 20t Gvm Or 4.5m High Must Use Right Lane,No,Yes – available .,NSW Road Rules 159,-,,-,All Vehicles Over 20t Gvm Or 4.5m High Must Use Right Lane sign design plan Published 15 Jun 2023 PDF 69.87 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r6-246n.gif?itok=urlMIvlk,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r6-246n.pdf,Original PDFs/r6-246n.pdf,r6-246n-all-vehicles-over-20t-gvm-or-45m-high-must-use
R6-244n,Road Closed For Vehicles Over __t GVM,R6-244n - Road Closed For Vehicles Over __t GVM,No,Yes – available .,Roads Act 1993 Section 115 & Road Transport (Mass Loading and Access) Regulation 1996 Section 122,-,,-,Road Closed For Vehicles Over __t Gvm sign design plan Published 15 Jun 2023 PDF 21.37 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r6-244n.gif?itok=Th9cjcOx,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r6-244n.pdf,Original PDFs/r6-244n.pdf,r6-244n-road-closed-for-vehicles-over-t-gvm
T4-5,Power Line Works In Progress,T4-5 - Power Line Works In Progress,Yes,Yes - available.,NA,Roads and Maritime Services Traffic Control at Worksites,AS 1742.3,-,Power Line Works In Progress - t4-5 sign design plan Published 15 Jun 2023 PDF 191.44 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t4-5.gif?itok=QrAVnSr7,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t4-5.pdf,Original PDFs/t4-5.pdf,t4-5-power-line-works-progress
T4-6,Smoke Hazard,T4-6 - Smoke Hazard,Yes,Yes - available.,NA,AS 1742.2 (Devices) Clause 4.11.3.2,Traffic Control at Worksites (Roads and Maritime Services ),For details please refer to AS 1743.,Smoke Hazard - t4-6 sign design plan Published 15 Jun 2023 PDF 197.93 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t4-6.gif?itok=8V3gVc4p,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t4-6.pdf,Original PDFs/t4-6.pdf,t4-6-smoke-hazard
R9-225n,Vehicles Under (xx)m Long Excepted,R9-225n - Vehicles Under (x.x)m Long Excepted,No,Yes – available.,NA,-,,-,R9-225n - Vehicles Under (x.x)m Long Excepted R9-225n - Vehicles Under (x.x)m Long Excepted Show X more,,,,r9-225n-vehicles-under-xxm-long-excepted
T1-282n,OSOM Vehicles Over x(m) Wide Use Bay x(km) Ahead,T1-282n OSOM Vehicles Over x(m) Wide Use Bay x(km) Ahead,No,Yes - available.,,AS1742.3 Traffic Control for Works on Roads,Secondary Technical References,-,T1-282n Vehicles Over x(m) Wide Use Bay x(km) Ahead Sign Design Plan Published 10 Jul 2023 PDF 123.89 KB,,,,t1-282n-osom-vehicles-over-xm-wide-use-bay-xkm-ahead
T1-281n,OSOM Vehicles Over x(m) Wide Use Bay x(m) Ahead,T1-281n OSOM Vehicles Over x(m) Wide Use Bay x(m) Ahead,No,Yes - available.,,AS1742.3 Traffic Control for Works on Roads,Secondary Technical References,-,T1-281n Vehicles Over x(m) wide Use Bay xx(m) Ahead sign design plan Published 10 Jul 2023 PDF 126.06 KB,,,,t1-281n-osom-vehicles-over-xm-wide-use-bay-xm-ahead
T1-283n,OSOM Vehicles Over x(m) High Use Bay x(m) Ahead,T1-283n - OSOM Vehicles Over x(m) High Use Bay x(m) Ahead,No,Yes - available.,,AS1742.3 Traffic Control for Works on Roads,Traffic Control at Worksites (TCAWS) Secondary Technical References,-,OSOM Vehicles Over x(m) High Use Bay x(m) Ahead Published 15 Oct 2025 PDF 129.8 KB,,,,t1-283n-osom-vehicles-over-xm-high-use-bay-xm-ahead
R2-215n,Police Nrma Roads and Maritime Services And Emergency Vehicles Excepted (Superseded Use R9-200n),R2-215n Police Nrma Roads and Maritime Services And Emergency Vehicles Excepted (Superseded Use R9-200n),,Unavailable.,NA,-,,Superseded Use R9-200n,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r2-215n.gif?itok=rCVbyfBX,,,r2-215n-police-nrma-roads-and-maritime-services-and
R2-212n,Taxis Excepted (Superseded Use R9-228n),R2-212n Taxis Excepted (Superseded Use R9-228n),,Unavailable.,-,Superseded (Use R9-228n),,SUPERSEDED (Use R9-228n),No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r2-212.gif?itok=5cewrqjT,,,r2-212n-taxis-excepted-superseded-use-r9-228n
R2-219n,No Overtaking On Left (No longer used),R2-219n No Overtaking On Left (No longer used),,Unavailable.,-,No longer used,,No longer used,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r2-219.gif?itok=Ed2jGArU,,,r2-219n-no-overtaking-on-left-no-longer-used
R2-220n,At Next __ Streets (No longer used),R2-220n At Next __ Streets (No longer used),,Unavailable.,-,No longer used,,No longer used,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r2-220.gif?itok=CG1hSU63,,,r2-220n-at-next-streets-no-longer-used
R2-222n,Motor Lorry Deliveries Permitted (times) Mon - Fri (No longer used),R2-222n Motor Lorry Deliveries Permitted (times) Mon - Fri (No longer used),,Unavailable.,-,No longer used,,No longer used,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r2-222.gif?itok=yRPF_LOW,,,r2-222n-motor-lorry-deliveries-permitted-times-mon-fri
R2-221n,Buses And Authorised Vehicles Excepted (No longer used),R2-221n Buses And Authorised Vehicles Excepted (No longer used),,Unavailable.,-,No longer used,,No longer used,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r2-221.gif?itok=J_yDHyyv,,,r2-221n-buses-and-authorised-vehicles-excepted-no
R3-2,Safety Zone (Not Used in NSW),R3-2 Safety Zone (Not Used in NSW),,Unavailable.,-,Not Used in NSW,,Not Used in NSW,No design plan.,,,,r3-2-safety-zone-not-used-nsw
R3-207n,Keep Left (left pointing downward angled arrow) (Not Used in NSW),R3-207n Keep Left (left pointing downward angled arrow) (Not Used in NSW),,Unavailable.,-,Not Used in NSW,,Not Used in NSW,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r3-207.gif?itok=cGjpipcU,,,r3-207n-keep-left-left-pointing-downward-angled-arrow
R3-206n,Pelican Crossing (Pedestrian Advisory Sign) (Not Used in NSW),R3-206n Pelican Crossing (Pedestrian Advisory Sign) (Not Used in NSW),,Unavailable.,-,Not Used in NSW,,Not Used in NSW,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r3-206.gif?itok=pUtND3B5,,,r3-206n-pelican-crossing-pedestrian-advisory-sign-not
R3-208-1n,Pedestrian Crossing With Background Plate (Not Used in NSW),R3-208-1n Pedestrian Crossing With Background Plate (Not Used in NSW),,Unavailable.,-,Not Used in NSW,,Not Used in NSW,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r3-208-1.gif?itok=uptS6ZOX,,,r3-208-1n-pedestrian-crossing-background-plate-not
R3-209n,School Zone (Superseded Use R4-230n),R3-209n School Zone (Superseded Use R4-230n),,Unavailable.,-,Superseded (Use R4-230n),,SUPERSEDED (Use R4-230n),No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r3-209.gif?itok=6IV-A744,,,r3-209n-school-zone-superseded-use-r4-230n
R3-208-2n,Pedestrian Crossing With Fluoro Background Plate (Not Used in NSW),R3-208-2n Pedestrian Crossing With Fluoro Background Plate (Not Used in NSW),,Unavailable.,-,Not Used in NSW,,Not Used in NSW,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r3-208-2.gif?itok=eFZg7f1G,,,r3-208-2n-pedestrian-crossing-fluoro-background-plate
R3-4,Children Crossing (25 km/h) When Lights Flashing (Not Used in NSW),R3-4 Children Crossing (25 km/h) When Lights Flashing (Not Used in NSW),,Unavailable.,-,Not Used in NSW,,Not Used in NSW,No design plan.,,,,r3-4-children-crossing-25-kmh-when-lights-flashing-not
R4-232n,School Bus Stop Zone When Bus Lights Flash (No Longer Used),R4-232n - School Bus Stop Zone When Bus Lights Flash (No Longer Used),No,Unavailable.,-,-,,No Longer Used,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-232.gif?itok=R07lzj_d,,,r4-232n-school-bus-stop-zone-when-bus-lights-flash-no
R3-211n,School Zone (times) Mon - Fri (Superseded Use R4-230n),R3-211n School Zone (times) Mon - Fri (Superseded Use R4-230n),,Unavailable.,-,Superseded (Use R4-230n),,SUPERSEDED (Use R4-230n),No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r3-211.gif?itok=g224s6T2,,,r3-211n-school-zone-times-mon-fri-superseded-use-r4
R4-10,Speed Limit (symbolic) 40 Area (No longer used),R4-10 Speed Limit (symbolic) 40 Area (No longer used),,Unavailable.,-,No longer used,,-,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-10.gif?itok=V1ikzXP0,,,r4-10-speed-limit-symbolic-40-area-no-longer-used
R5-35,No Stopping (symbolic) (Not used in NSW - use R5-400n series),R5-35 - No Stopping (symbolic) (Not used in NSW - use R5-400n series),,Unavailable.,-,Not used in NSW - use R5-400n series,,Not used in NSW (Use R5-400 series),No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-35.gif?itok=KYCirq74,,,r5-35-no-stopping-symbolic-not-used-nsw-use-r5-400n
R4-6,Local Traffic Area (40) (Superseded Use R4-240n),R4-6 Local Traffic Area (40) (Superseded Use R4-240n),,Unavailable.,-,Superseded (Use R4-240n),,SUPERSEDED (Use R4-240n),No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-6.gif?itok=NWYJJlMl,,,r4-6-local-traffic-area-40-superseded-use-r4-240n
R5-200n,No Stopping In Safety Ramp (No longer used),R5-200n - No Stopping In Safety Ramp (No longer used),,Unavailable.,-,No longer used,,No longer used.,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-200.gif?itok=1hhEu01e,,,r5-200n-no-stopping-safety-ramp-no-longer-used
R4-7,End Local Traffic Area (Superseded Use R4-241n),R4-7 End Local Traffic Area (Superseded Use R4-241n),,Unavailable.,-,Superseded (Use R4-241n),,SUPERSEDED (Use R4-241n),No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-7.gif?itok=4606U6pH,,,r4-7-end-local-traffic-area-superseded-use-r4-241n
R3-215n,End School Bus Stop Zone (No Longer Used),R3-215n End School Bus Stop Zone (No Longer Used),,Unavailable.,-,-,,No Longer Used,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r3-215.gif?itok=Uv7TjVSz,,,r3-215n-end-school-bus-stop-zone-no-longer-used
R4-233n,End School Bus Stop Zone (No Longer Used),R4-233n End School Bus Stop Zone (No Longer Used),No,Unavailable.,-,-,,No Longer Used,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-233.gif?itok=3Gl3fHRY,,,r4-233n-end-school-bus-stop-zone-no-longer-used
R4-2,Derestricted Speed Limit (Not Used in NSW),R4-2 - Derestricted Speed Limit (Not Used in NSW),,Unavailable.,-,Not Used in NSW,,Not Used in NSW,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-2.gif?itok=xgzCU45r,,,r4-2-derestricted-speed-limit-not-used-nsw
R4-8,School Zone (Not Used in NSW Use R4-230n),R4-8 School Zone (Not Used in NSW Use R4-230n),,Unavailable.,-,Not Used in NSW (Use R4-230n),,Not Used in NSW (Use R4-230n),No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-8.gif?itok=l3Ft8wNG,,,r4-8-school-zone-not-used-nsw-use-r4-230n
R4-203n,Bridge Work (Superseded Use R4-212n),R4-203n Bridge Work (Superseded Use R4-212n),No,Unavailable.,-,-,,(Superseded Use R4-212n ROAD WORK sign,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r4-203.gif?itok=xVqKmCAD,,,r4-203n-bridge-work-superseded-use-r4-212n
R5-62,"Area Parking - Internal Repeater (Not Used in NSW) (Use R5-62-1n, R5-62-2n, R5-62-3n, R5-62-4n, or R5-62-5n)","R5-62 - Area Parking - Internal Repeater (Not Used in NSW) (Use R5-62-1n, R5-62-2n, R5-62-3n, R5-62-4n or R5-62-5n)",Yes,Unavailable.,-,-,-,,No design plan.,,,,r5-62-area-parking-internal-repeater-not-used-nsw-use
R5-302n,Bus Lane / Transit Lane combined repeater (times as required) (Superseded - use individual signs),R5-302n Bus Lane / Transit Lane combined repeater (times as required) (Superseded - use individual signs),,Unavailable.,-,Superseded - use individual signs,,SUPERSEDED (Use individual signs),No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-302.gif?itok=sNK5eq_5,,,r5-302n-bus-lane-transit-lane-combined-repeater-times
R5-61,"Area Parking - Minor Entry (Not Used in NSW) (Use R5-61-1n, R5-61-2n, R5-61-3n, R5-61-4n or R5-61-5n)","R5-61 - Area Parking - Minor Entry (Not Used in NSW) (Use R5-61-1n, R5-61-2n, R5-61-3n, R5-61-4n or R5-61-5n)",Yes,Unavailable.,-,-,-,,No design plan.,,,,r5-61-area-parking-minor-entry-not-used-nsw-use-r5-61
R5-303n,Transit Lane / Bus Lane repeater (times as required) (Superseded - use individual signs),R5-303n Transit Lane / Bus Lane repeater (times as required) (Superseded - use individual signs),,Unavailable.,-,Superseded - use individual signs,,SUPERSEDED (Use individual signs),No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-303.gif?itok=iXFsvoqU,,,r5-303n-transit-lane-bus-lane-repeater-times-as
R5-36,No Stopping with specific times (symbolic) (Not used in NSW - use R5-400n series),R5-36 - No Stopping with specific times (symbolic) (Not used in NSW - use R5-400n series),,Unavailable.,-,Not used in NSW - use R5-400n series,,Not used in NSW (Use R5-400 series),No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-36.gif?itok=p0g3eO5n,,,r5-36-no-stopping-specific-times-symbolic-not-used-nsw
R6-222 (Superseded Use R6-10-2 with R9-10-1),Trucks Prohibited (symbol) __t And Over,R6-222 Trucks Prohibited (symbol) __t And Over (Superseded Use R6-10-2 with R9-10-2),,Unavailable.,-,-,,,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r6-222.gif?itok=S1PDxGmo,,,r6-222-trucks-prohibited-symbol-t-and-over-superseded
R5-70,No Stopping Area / Major Entry (Not used in NSW - use R5-410n),R5-70 - No Stopping Area / Major Entry (Not used in NSW - use R5-410n),,Unavailable.,-,Not used in NSW - use R5-410n,,Not used in NSW - use R5-410n,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-70.gif?itok=Pe4Mt5jZ,,,r5-70-no-stopping-area-major-entry-not-used-nsw-use-r5
R5-71,No Stopping Area - Minor Entry (Not used in NSW - use R5-410n),R5-71 - No Stopping Area - Minor Entry (Not used in NSW - use R5-410n),,Unavailable.,-,Not used in NSW - use R5-410n,,Not used in NSW (Use R5-410),No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-71.gif?itok=0mm-ShRf,,,r5-71-no-stopping-area-minor-entry-not-used-nsw-use-r5
R5-73,End No Stopping Area (Not used in NSW - See R5-411),R5-73 - End No Stopping Area (Not used in NSW - See R5-411n),Yes,Unavailable.,-,Not used in NSW - See R5-411n,,Not used in NSW - See R5-411,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-73.gif?itok=SN75jwNO,,,r5-73-end-no-stopping-area-not-used-nsw-see-r5-411n
