code,name,family,file,size,diagram,notes
779,Electrified overhead cable ahead,Level Crossing Signs,ELECTRIFIED_OVERHEAD_CABLE_AHEAD_779.svg,600x527 mm,779.0,600 mm (working drawing p779; alternatives 750/900/1200)
782,Risk of grounding at a railway or tramway level crossing or hump backed bridge,Level Crossing Signs,RISK_OF_GROUNDING_AT_A_RAILWAY_OR_TRAMWAY_LEVEL_CROSSING_OR_HUMP_BACKE_782.svg,600x527 mm,782.0,600 mm (working drawing p782; alternatives 750/900/1200/1500)
770,Level crossing with gate or barrier ahead,Level Crossing Signs,LEVEL_CROSSING_WITH_GATE_OR_BARRIER_AHEAD_770.svg,600x527 mm,770.0,600 mm (working drawing p770; alternatives 750/900/1200/1500)
771,Railway level crossing without gate or barrier ahead,Level Crossing Signs,RAILWAY_LEVEL_CROSSING_WITHOUT_GATE_OR_BARRIER_AHEAD_771.svg,600x527 mm,771.0,600 mm (working drawing p771; alternatives 750/900/1200/1500)
780A,Safe height beneath electrified overhead cable ahead,Level Crossing Signs,SAFE_HEIGHT_BENEATH_ELECTRIFIED_OVERHEAD_CABLE_AHEAD_780A.svg,2760x1070 mm,780.01,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 2 stroked path(s) outlined with Inkscape"
773,Warning of light signals at a level crossing without a gate or barrier ahead,Level Crossing Signs,WARNING_OF_LIGHT_SIGNALS_AT_A_LEVEL_CROSSING_WITHOUT_A_GATE_OR_BARRIER_773.svg,4695x5556 mm,773.0,"working drawing p773 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
781,Load gauge giving audible warning to drivers where vehicle exceeds safe height under electrified overhead cables,Level Crossing Signs,LOAD_GAUGE_GIVING_AUDIBLE_WARNING_TO_DRIVERS_WHERE_VEHICLE_EXCEEDS_SAF_781.svg,7400x1790 mm,781.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 19 stroked path(s) outlined with Inkscape"
777,"Level crossing ahead is crossed by more than one railway or tramway track, and more than one train or tramcar may pass over it in quick succession",Level Crossing Signs,LEVEL_CROSSING_AHEAD_IS_CROSSED_BY_MORE_THAN_ONE_RAILWAY_OR_TRAMWAY_TR_777.svg,6629x3322 mm,777.0,"working drawing p777 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
788,Direction to emergency telephone or telephone at or near a railway or tramway level crossing,Level Crossing Signs,DIRECTION_TO_EMERGENCY_TELEPHONE_OR_TELEPHONE_AT_OR_NEAR_A_RAILWAY_OR__788.svg,121x200 mm,788.0,200 mm (working drawing p788; alternatives 650/780/400/480/800/960/400/480)
4006,Light signal at level crossing for pedestrians,Level Crossing Signs,LIGHT_SIGNAL_AT_LEVEL_CROSSING_FOR_PEDESTRIANS_4006.svg,4992x4992 mm,4006.0,"no size figure read from working drawing p4006; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
787,Site of emergency telephone or telephone at or near a railway or tramway level crossing,Level Crossing Signs,SITE_OF_EMERGENCY_TELEPHONE_OR_TELEPHONE_AT_OR_NEAR_A_RAILWAY_OR_TRAMW_787.svg,2960x6070 mm,787.0,"working drawing p787 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
790,New method of controlling traffic at a railway or tramway level crossing ahead,Level Crossing Signs,NEW_METHOD_OF_CONTROLLING_TRAFFIC_AT_A_RAILWAY_OR_TRAMWAY_LEVEL_CROSSI_790.svg,5752x4090 mm,790.0,"working drawing p790 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
789.2,Countdown marker to railway or tramway level crossing,Level Crossing Signs,COUNTDOWN_MARKER_TO_RAILWAY_OR_TRAMWAY_LEVEL_CROSSING_789.2.svg,1742x5140 mm,789.0,"no size figure read from working drawing p789; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
789.1,Countdown marker to railway or tramway level crossing,Level Crossing Signs,COUNTDOWN_MARKER_TO_RAILWAY_OR_TRAMWAY_LEVEL_CROSSING_789.1.svg,1742x5140 mm,789.0,"no size figure read from working drawing p789; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
789,Countdown marker to railway or tramway level crossing,Level Crossing Signs,COUNTDOWN_MARKER_TO_RAILWAY_OR_TRAMWAY_LEVEL_CROSSING_789.svg,1742x5140 mm,789.0,"no size figure read from working drawing p789; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
786,"Place where drivers of large or slow, or long low vehicles should park near a level crossing while contacting the signal operator",Level Crossing Signs,PLACE_WHERE_DRIVERS_OF_LARGE_OR_SLOW_OR_LONG_LOW_VEHICLES_SHOULD_PARK__786.svg,4787x3322 mm,786.0,"working drawing p786 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
776,Another train or tramcar may be about to pass over the level crossing,Level Crossing Signs,ANOTHER_TRAIN_OR_TRAMCAR_MAY_BE_ABOUT_TO_PASS_OVER_THE_LEVEL_CROSSING_776.svg,4504x4504 mm,776.0,"no size figure read from working drawing p776; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
774,Location of railway or tramway level crossing without a gate or barrier,Level Crossing Signs,LOCATION_OF_RAILWAY_OR_TRAMWAY_LEVEL_CROSSING_WITHOUT_A_GATE_OR_BARRIE_774.svg,300x132 mm,774.0,300 mm (working drawing p774; alternatives 400/1200); also in DfT category Tram signs
775,Vehicular traffic must not stop within the area of a railway or tramway level crossing,Level Crossing Signs,VEHICULAR_TRAFFIC_MUST_NOT_STOP_WITHIN_THE_AREA_OF_A_RAILWAY_OR_TRAMWA_775.svg,3855x2232 mm,775.0,"working drawing p775 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); also in DfT category Tram signs"
778,Open railway level crossing without light signals,Level Crossing Signs,OPEN_RAILWAY_LEVEL_CROSSING_WITHOUT_LIGHT_SIGNALS_778.svg,2011x1903 mm,778.0,"no size figure read from working drawing p778; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
953.2,Explanatory plate for tramcar and bus and cycle only route signs,Tram Signs,EXPLANATORY_PLATE_FOR_TRAMCAR_AND_BUS_AND_CYCLE_ONLY_ROUTE_SIGNS_953.2.svg,2932x1702 mm,953.2,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); also in DfT category Bus and cycle signs"
953.1,Route for use by tramcars only,Tram Signs,ROUTE_FOR_USE_BY_TRAMCARS_ONLY_953.1.svg,750x750 mm,953.1,750 mm (working drawing p953x1; alternatives 450/900); 1 stroked path(s) outlined with Inkscape
778.1,Open tramway level crossing without light signals,Tram Signs,OPEN_TRAMWAY_LEVEL_CROSSING_WITHOUT_LIGHT_SIGNALS_778.1.svg,480x299 mm,778.1,480 mm (working drawing p778x1; alternatives 600/720/375/450/235/282/470/564)
772,Tramcars crossing ahead,Tram Signs,TRAMCARS_CROSSING_AHEAD_772.svg,600x527 mm,772.0,600 mm (working drawing p772; alternatives 750/900/1200/1500)
963.3,Warning for pedestrians to look out for tramway traffic approaching from both directions,Tram Signs,WARNING_FOR_PEDESTRIANS_TO_LOOK_OUT_FOR_TRAMWAY_TRAFFIC_APPROACHING_FR_963.3.svg,4780x4700 mm,963.3,"working drawing p963x3 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
963.3L,Warning for pedestrians to look out for tramway traffic approaching from the left,Tram Signs,WARNING_FOR_PEDESTRIANS_TO_LOOK_OUT_FOR_TRAMWAY_TRAFFIC_APPROACHING_FR_963.3L.svg,4780x4040 mm,963.3,"working drawing p963x3 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
963.3R,Warning for pedestrians to look out for tramway traffic approaching from the right,Tram Signs,WARNING_FOR_PEDESTRIANS_TO_LOOK_OUT_FOR_TRAMWAY_TRAFFIC_APPROACHING_FR_963.3R.svg,5010x4040 mm,963.3,"working drawing p963x3 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
953+953.2,Route for use by buses and cycles only,Bus And Cycle Signs,ROUTE_FOR_USE_BY_BUSES_AND_CYCLES_ONLY_953+953.2.svg,530x750 mm,953.0,750 mm (working drawing p953; alternatives 450/600/900); 1 stroked path(s) outlined with Inkscape
953.1V,Route for use by buses and tramcars only,Bus And Cycle Signs,ROUTE_FOR_USE_BY_BUSES_AND_TRAMCARS_ONLY_953.1V.svg,750x750 mm,953.1,750 mm (working drawing p953x1; alternatives 450/900); 1 stroked path(s) outlined with Inkscape
952,Buses prohibited,Bus And Cycle Signs,BUSES_PROHIBITED_952.svg,600x600 mm,952.0,600 mm (working drawing p952; alternatives 1200/450/750/900)
953,"Route for use by buses, pedal cycles and taxis only",Bus And Cycle Signs,ROUTE_FOR_USE_BY_BUSES_PEDAL_CYCLES_AND_TAXIS_ONLY_953.svg,750x750 mm,953.0,750 mm (working drawing p953; alternatives 450/600/900); 1 stroked path(s) outlined with Inkscape
958,With-flow bus lane which pedal cycles and taxis may also use ahead,Bus And Cycle Signs,WITH_FLOW_BUS_LANE_WHICH_PEDAL_CYCLES_AND_TAXIS_MAY_ALSO_USE_AHEAD_958.svg,6040x5850 mm,959.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
877L,Appropriate traffic lanes for different manoeuvres at a junction after a break in a bus lane,Bus And Cycle Signs,APPROPRIATE_TRAFFIC_LANES_FOR_DIFFERENT_MANOEUVRES_AT_A_JUNCTION_AFTER_877L.svg,2920x2450 mm,877.0,"working drawing p877 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 4 stroked path(s) outlined with Inkscape"
963.2,Contra-flow bus lane which pedal cycles may also use with traffic approaching from the right (reminder for pedestrians),Bus And Cycle Signs,CONTRA_FLOW_BUS_LANE_WHICH_PEDAL_CYCLES_MAY_ALSO_USE_WITH_TRAFFIC_APPR_963.2.svg,5010x5210 mm,963.2,"working drawing p963x2 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
963T,Bus lane with traffic proceeding from both ways  (reminder for pedestrians),Bus And Cycle Signs,BUS_LANE_WITH_TRAFFIC_PROCEEDING_FROM_BOTH_WAYS_REMINDER_FOR_PEDESTRIA_963T.svg,5010x4110 mm,963.0,"working drawing p963 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
962,Bus lane on road at junction ahead,Bus And Cycle Signs,BUS_LANE_ON_ROAD_AT_JUNCTION_AHEAD_962.svg,4112x3514 mm,962.0,"working drawing p962 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
960,Contra-flow bus lane,Bus And Cycle Signs,CONTRA_FLOW_BUS_LANE_960.svg,3660x1660 mm,960.0,"working drawing p960 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
964,End of bus lane,Bus And Cycle Signs,END_OF_BUS_LANE_964.svg,3380x1970 mm,964.0,"working drawing p964 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
969,Parking place for buses,Bus And Cycle Signs,PARKING_PLACE_FOR_BUSES_969.svg,338x500 mm,969.0,500 mm (working drawing p969; alternatives 250/375/110/165/250/375/300/250/375/110/165); 1 stroked path(s) outlined with Inkscape
661.1VB,Parking place for buses only during the times shown,On-Street Parking,PARKING_PLACE_FOR_BUSES_ONLY_DURING_THE_TIMES_SHOWN_661.1VB.svg,2880x4060 mm,661.1,"working drawing p661x1 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 6 stroked path(s) outlined with Inkscape"
972,Stopping place for buses used for carrying tourists to allow passengers to take photographs,Bus And Cycle Signs,STOPPING_PLACE_FOR_BUSES_USED_FOR_CARRYING_TOURISTS_TO_ALLOW_PASSENGER_972.svg,5510x5130 mm,972.0,"working drawing p972 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
975,Place where buses may stand and the stopping of other vehicles is prohibited during the period indicated,Bus And Cycle Signs,PLACE_WHERE_BUSES_MAY_STAND_AND_THE_STOPPING_OF_OTHER_VEHICLES_IS_PROH_975.svg,4994x4662 mm,975.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
970,Stopping place for buses,Bus And Cycle Signs,STOPPING_PLACE_FOR_BUSES_970.svg,5123x4269 mm,970.0,"working drawing p970 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
953.3,"Entrance to bus station, depot or garage",Bus And Cycle Signs,ENTRANCE_TO_BUS_STATION_DEPOT_OR_GARAGE_953.3.svg,1560x1000 mm,953.3,"working drawing p953x3 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
954,Buses excluded from restriction or prohibition conveyed by associated sign,Bus And Cycle Signs,BUSES_EXCLUDED_FROM_RESTRICTION_OR_PROHIBITION_CONVEYED_BY_ASSOCIATED__954.svg,3933x2615 mm,954.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
954.4,Cycles excluded from restriction or prohibition conveyed by associated sign,Bus And Cycle Signs,CYCLES_EXCLUDED_FROM_RESTRICTION_OR_PROHIBITION_CONVEYED_BY_ASSOCIATED_954.4.svg,3974x2642 mm,954.4,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
954.2,Local buses excluded from restriction or prohibition conveyed by associated sign,Bus And Cycle Signs,LOCAL_BUSES_EXCLUDED_FROM_RESTRICTION_OR_PROHIBITION_CONVEYED_BY_ASSOC_954.2.svg,5772x2629 mm,954.2,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
974,Stopping by vehicles other than buses prohibited during the period indicated,Bus And Cycle Signs,STOPPING_BY_VEHICLES_OTHER_THAN_BUSES_PROHIBITED_DURING_THE_PERIOD_IND_974.svg,4994x3799 mm,974.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
960.1,Contra-flow cycle lane,Bus And Cycle Signs,CONTRA_FLOW_CYCLE_LANE_960.1.svg,3030x1740 mm,960.1,"working drawing p960x1 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
962.1,Cycle lane on road at junction ahead or cycle track crossing road,Bus And Cycle Signs,CYCLE_LANE_ON_ROAD_AT_JUNCTION_AHEAD_OR_CYCLE_TRACK_CROSSING_ROAD_962.1.svg,4112x3760 mm,962.1,"working drawing p962x1 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
963.1T,Cycle lane with traffic approaching from both ways (pedestrian reminder),Bus And Cycle Signs,CYCLE_LANE_WITH_TRAFFIC_APPROACHING_FROM_BOTH_WAYS_PEDESTRIAN_REMINDER_963.1T.svg,5010x4380 mm,963.1,"working drawing p963x1 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
963.1L,Cycle lane with traffic proceeding from left (pedestrian reminder),Bus And Cycle Signs,CYCLE_LANE_WITH_TRAFFIC_PROCEEDING_FROM_LEFT_PEDESTRIAN_REMINDER_963.1L.svg,5010x3700 mm,963.1,"working drawing p963x1 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
963.1,Cycle lane with traffic proceeding from right (pedestrian reminder),Bus And Cycle Signs,CYCLE_LANE_WITH_TRAFFIC_PROCEEDING_FROM_RIGHT_PEDESTRIAN_REMINDER_963.1.svg,5010x3700 mm,963.1,"working drawing p963x1 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
967,Route recommended for pedal cycles on the main carriageway of a road,Bus And Cycle Signs,ROUTE_RECOMMENDED_FOR_PEDAL_CYCLES_ON_THE_MAIN_CARRIAGEWAY_OF_A_ROAD_967.svg,2020x1380 mm,967.0,"no size figure read from working drawing p967; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
965,"End of cycle lane, track or route",Bus And Cycle Signs,END_OF_CYCLE_LANE_TRACK_OR_ROUTE_965.svg,3410x3690 mm,965.0,"working drawing p965 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
959.1,With-flow cycle lane,Bus And Cycle Signs,WITH_FLOW_CYCLE_LANE_959.1.svg,6050x2760 mm,959.1,"working drawing p959x1 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
958.1,With-flow cycle lane ahead,Bus And Cycle Signs,WITH_FLOW_CYCLE_LANE_AHEAD_958.1.svg,6040x5850 mm,958.1,"working drawing p958x1 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
950.1,Testing of child cyclists ahead,Bus And Cycle Signs,TESTING_OF_CHILD_CYCLISTS_AHEAD_950.1.svg,5787x2617 mm,950.1,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
950.1VCT,Training of child cyclists ahead,Bus And Cycle Signs,TRAINING_OF_CHILD_CYCLISTS_AHEAD_950.1VCT.svg,2240x1020 mm,950.1,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 3 stroked path(s) outlined with Inkscape"
950.1VCE,Cycle event ahead,Bus And Cycle Signs,CYCLE_EVENT_AHEAD_950.1VCE.svg,2357x664 mm,950.1,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
950,Cycle route ahead warning,Bus And Cycle Signs,CYCLE_ROUTE_AHEAD_WARNING_950.svg,600x527 mm,950.0,600 mm (working drawing p950; alternatives 750/900/1200/1500)
950.1VCC,Cycles crossing ahead,Bus And Cycle Signs,CYCLES_CROSSING_AHEAD_950.1VCC.svg,1770x1020 mm,950.1,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
966,"Cyclists to dismount at the end if, or at a break in, a cycle lane, track or route",Bus And Cycle Signs,CYCLISTS_TO_DISMOUNT_AT_THE_END_IF_OR_AT_A_BREAK_IN_A_CYCLE_LANE_TRACK_966.svg,4590x1980 mm,966.0,"working drawing p966 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
951,Riding of pedal cycles prohibited,Bus And Cycle Signs,RIDING_OF_PEDAL_CYCLES_PROHIBITED_951.svg,450x450 mm,951.0,450 mm (working drawing p951; alternatives 270/300/600)
816,No through road for vehicular traffic,Bus And Cycle Signs,NO_THROUGH_ROAD_FOR_VEHICULAR_TRAFFIC_816.svg,480x480 mm,816.0,480 mm (working drawing p816; alternatives 400/560/200/280/112/400/300/560/420); 2 stroked path(s) outlined with Inkscape
968.1,Parking place for pedal cycles,Bus And Cycle Signs,PARKING_PLACE_FOR_PEDAL_CYCLES_968.1.svg,2850x4910 mm,968.1,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
955,Route for use by pedal cycles only,Bus And Cycle Signs,ROUTE_FOR_USE_BY_PEDAL_CYCLES_ONLY_955.svg,450x450 mm,955.0,450 mm (working drawing p955; alternatives 150/270/300/600); 1 stroked path(s) outlined with Inkscape
957,Route comprising a separated track and path for cycles and pedestrians,Bus And Cycle Signs,ROUTE_COMPRISING_A_SEPARATED_TRACK_AND_PATH_FOR_CYCLES_AND_PEDESTRIANS_957.svg,450x450 mm,957.0,450 mm (working drawing p957; alternatives 100/150/270/300/600); 1 stroked path(s) outlined with Inkscape
956,Route for use by pedal cycles and pedestrians only,Bus And Cycle Signs,ROUTE_FOR_USE_BY_PEDAL_CYCLES_AND_PEDESTRIANS_ONLY_956.svg,150x150 mm,956.0,150 mm (working drawing p956; alternatives 100/150/270/300/600); 1 stroked path(s) outlined with Inkscape
957R,Route comprising a separated track and path for cycles and pedestrians,Bus And Cycle Signs,ROUTE_COMPRISING_A_SEPARATED_TRACK_AND_PATH_FOR_CYCLES_AND_PEDESTRIANS_957R.svg,450x450 mm,957.0,450 mm (working drawing p957; alternatives 100/150/270/300/600); 1 stroked path(s) outlined with Inkscape
968,Parking place for pedal cycles,Bus And Cycle Signs,PARKING_PLACE_FOR_PEDAL_CYCLES_968.svg,4900x1960 mm,968.0,"no size figure read from working drawing p968; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
618.3,Entry to and waiting in pedestrian zone restricted except for loading during the period indicated,Pedestrian Zone Signs,ENTRY_TO_AND_WAITING_IN_PEDESTRIAN_ZONE_RESTRICTED_EXCEPT_FOR_LOADING__618.3.svg,3440x6418 mm,618.3,"working drawing p618x3 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); DfT file is named 618x3.eps"
618.2,Entry to pedestrian zone restricted except for permit holders,Pedestrian Zone Signs,ENTRY_TO_PEDESTRIAN_ZONE_RESTRICTED_EXCEPT_FOR_PERMIT_HOLDERS_618.2.svg,3440x6623 mm,618.2,"working drawing p618x2 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); DfT file is named 618x2.eps"
637.2,Prohibition on waiting (and loading and unloading) in a pedestrian zone during the period indicated,Pedestrian Zone Signs,PROHIBITION_ON_WAITING_AND_LOADING_AND_UNLOADING_IN_A_PEDESTRIAN_ZONE__637.2.svg,2537x2455 mm,637.2,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); DfT file is named 637x2.eps"
637.2V,Prohibition on waiting (and loading and unloading) in a pedestrian zone at any time,Pedestrian Zone Signs,PROHIBITION_ON_WAITING_AND_LOADING_AND_UNLOADING_IN_A_PEDESTRIAN_ZONE__637.2V.svg,3479x4457 mm,637.2,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); DfT file is named 637x2v.eps"
618.4,End of restrictions associated with a pedestrian zone,Pedestrian Zone Signs,END_OF_RESTRICTIONS_ASSOCIATED_WITH_A_PEDESTRIAN_ZONE_618.4.svg,3402x5840 mm,618.4,"working drawing p618x4 is dimensioned in x-heights: no absolute size; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); DfT file is named 618x4.eps"
639,Waiting prohibited except for loading and unloading during the period indicated,On-Street Parking,WAITING_PROHIBITED_EXCEPT_FOR_LOADING_AND_UNLOADING_DURING_THE_PERIOD__639.svg,2160x1090 mm,639.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 1 stroked path(s) outlined with Inkscape"
637.3,Continuous prohibition on waiting except for loading and unloading for period indicated,On-Street Parking,CONTINUOUS_PROHIBITION_ON_WAITING_EXCEPT_FOR_LOADING_AND_UNLOADING_FOR_637.3.svg,7722x4037 mm,637.3,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
638,Continuous prohibition on loading and unloading,On-Street Parking,CONTINUOUS_PROHIBITION_ON_LOADING_AND_UNLOADING_638.svg,5846x2634 mm,638.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
637.3V,Continuous prohibition on waiting except for loading and unloading,On-Street Parking,CONTINUOUS_PROHIBITION_ON_WAITING_EXCEPT_FOR_LOADING_AND_UNLOADING_637.3V.svg,7721x5881 mm,637.3,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
638.1,Loading and unloading prohibited during the periods indicated and in the direction indicated,On-Street Parking,LOADING_AND_UNLOADING_PROHIBITED_DURING_THE_PERIODS_INDICATED_AND_IN_T_638.1.svg,3680x2978 mm,638.1,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal)"
638R,Continuous prohibition on loading and unloading,On-Street Parking,CONTINUOUS_PROHIBITION_ON_LOADING_AND_UNLOADING_638R.svg,2180x1430 mm,638.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 2 stroked path(s) outlined with Inkscape"
640_PEAK,"Waiting prohibited during the period and in the direction indicated (upper panel), and loading and unloading prohibited during the periods and in the direction indicated (lower panel)",On-Street Parking,WAITING_PROHIBITED_DURING_THE_PERIOD_AND_IN_THE_DIRECTION_INDICATED_UP_640_PEAK.svg,2770x4050 mm,640.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 9 stroked path(s) outlined with Inkscape"
640_AM_PM,"Waiting prohibited during the period indicated (upper panel), and loading and unloading prohibited during the periods indicated (lower panel)",On-Street Parking,WAITING_PROHIBITED_DURING_THE_PERIOD_INDICATED_UPPER_PANEL_AND_LOADING_640_AM_PM.svg,690x850 mm,640.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 5 stroked path(s) outlined with Inkscape"
640_DIRECTIONS,"Waiting prohibited in the direction indicated (upper panel), and loading and unloading prohibited in the direction indicated (lower panel)",On-Street Parking,WAITING_PROHIBITED_IN_THE_DIRECTION_INDICATED_UPPER_PANEL_AND_LOADING__640_DIRECTIONS.svg,2750x2900 mm,640.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 4 stroked path(s) outlined with Inkscape"
640_TIMES_ARROWS,"Waiting prohibited during the period and in the direction indicated (upper panel), and loading and unloading prohibited during the periods and in the direction indicated (lower panel)",On-Street Parking,WAITING_PROHIBITED_DURING_THE_PERIOD_AND_IN_THE_DIRECTION_INDICATED_UP_640_TIMES_ARROWS.svg,2770x3260 mm,640.0,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 7 stroked path(s) outlined with Inkscape"
638.1NA,Loading and unloading prohibited during the periods indicated,On-Street Parking,LOADING_AND_UNLOADING_PROHIBITED_DURING_THE_PERIODS_INDICATED_638.1NA.svg,2770x1790 mm,638.1,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 5 stroked path(s) outlined with Inkscape"
638.1R,Loading and unloading prohibited during the periods and in the direction indicated,On-Street Parking,LOADING_AND_UNLOADING_PROHIBITED_DURING_THE_PERIODS_AND_IN_THE_DIRECTI_638.1R.svg,2750x1900 mm,638.1,"no working drawing for this diagram; artwork kept at 1 pt = 10 mm (proportions exact, size nominal); 3 stroked path(s) outlined with Inkscape"
