code,name,family,file,size,register_dimensions,notes
WA6,Ramp signal OFF variable,Permanent Warning Signs,RAMP_SIGNAL_OFF_VARIABLE_WA6.svg,1675x950 mm,a : 1675 b : 950 c : 60 d : 90 Type : 175D,
WA6,Ramp signal ON variable,Permanent Warning Signs,RAMP_SIGNAL_ON_VARIABLE_WA6.svg,1675x950 mm,a : 1675 b : 950 c : 60 d : 90 Type : 175D,
WW13,Road narrows – three lanes to two,Permanent Warning Signs,ROAD_NARROWS_THREE_LANES_TO_TWO_WW13.svg,1028x1028 mm,r : 50 50 60 I : 80 h : 30 g : 55 f : 10 10 10 e : 15 20 25 d : 150 188 225 c : 15 19 23 b : 60 75 90 a : 600 750 900 DASHES 30 x 80,
WW12,Road narrows – two lanes to one,Permanent Warning Signs,ROAD_NARROWS_TWO_LANES_TO_ONE_WW12.svg,1028x1028 mm,r : 50 50 60 I : 80 h : 40 g : 55 f : 10 10 10 e : 15 20 25 d : 150 188 225 c : 15 19 23 b : 60 75 90 a : 600 750 900 DASHES 40 x 80,
WXT,Tramway crossbuck,Permanent Warning Signs,TRAMWAY_CROSSBUCK_WXT.svg,966x673 mm,a : 1000 b : 767 c : 46 d : 200 e : 24 TRAMWAY : 133B CROSSING : 133C,
WXT1,Tramway crossbuck with backing board,Permanent Warning Signs,TRAMWAY_CROSSBUCK_WITH_BACKING_BOARD_WXT1.svg,1100x850 mm,a : 1100 b : 850 c : 25 r : 70 Crossbuck symbol w x h : specs as per sign WXT 970 x 670,
none,Two-way (distance) ahead supplementary,Permanent Warning Signs,TWO_WAY_DISTANCE_AHEAD_SUPPLEMENTARY_none.svg,600x250 mm,a 600 b 250 r 50 c 10 d 15 e 65 Legend Distance 100D Legend 'm' Transport D Medium x height = 65,
WXB2,Un-controlled intersection immediately beyond level crossing,Permanent Warning Signs,UN_CONTROLLED_INTERSECTION_IMMEDIATELY_BEYOND_LEVEL_CROSSING_WXB2.svg,1028x1028 mm,r : 50 j : 10 i : 20 h : 31 g : 250 f : 113 e : 125 d : 63 c : 75 b : 100 a : 750,
WB1,Warning - site specific - fixed text RURAL,Permanent Warning Signs,WARNING_SITE_SPECIFIC_FIXED_TEXT_RURAL_WB1.svg,1100x900 mm,a : 1100 b : 900 c : 10 d : 25 r : 60 e : 80 Text 160D,
WB1,Warning - site specific - fixed text URBAN,Permanent Warning Signs,WARNING_SITE_SPECIFIC_FIXED_TEXT_URBAN_WB1.svg,1000x700 mm,a : 1000 b : 700 c : 10 d : 25 r : 60 e : 60 Text 120D,
WB2,Warning - site specific - variable text,Permanent Warning Signs,WARNING_SITE_SPECIFIC_VARIABLE_TEXT_WB2.svg,1500x1100 mm,a : Sized to suit requirements b : Sized to suit requirements c : 100 Text 200D,
WB1A,Warning – symbol fixed display – ‘activated’ with flashing lights,Permanent Warning Signs,WARNING_SYMBOL_FIXED_DISPLAY_ACTIVATED_WITH_FLASHING_LIGHTS_WB1A.svg,700x900 mm,a : 700 b : 900 c : 40 d : 160 e : 60 Symbol : 600x480mm Text 100C,
WB2A,Warning – symbol illuminated when activated,Permanent Warning Signs,WARNING_SYMBOL_ILLUMINATED_WHEN_ACTIVATED_WB2A.svg,700x1000 mm,a : 700 b : 1000 c : 50 d : 140 e : 60 f : 80 Text 160D symbol : 600 x 480,
WB2A,Warning – symbol illuminated when activated (Kura School),Permanent Warning Signs,WARNING_SYMBOL_ILLUMINATED_WHEN_ACTIVATED_KURA_SCHOOL_WB2A.svg,700x1000 mm,a: 700 b: 1000 c: 50 d: 140 e: 60 f: 80 Text 100D Symbol 600 x 480,
WB2A,Warning – symbol illuminated when activated (railway crossing at curve),Permanent Warning Signs,WARNING_SYMBOL_ILLUMINATED_WHEN_ACTIVATED_RAILWAY_CROSSING_AT_CURVE_WB2A.svg,700x1000 mm,a 700 b 1000 c 50 d : Legend 'optional lights' 60cm2 Legend 'arrow' to fit in max size of 600x480 Legend 'advisory speed or slow down' 160D,
none,"""General supplementary `Works End Thank You` supplementary for backing board"" — sign",Temporary Warning Signs,GENERAL_SUPPLEMENTARY_WORKS_END_THANK_YOU_SUPPLEMENTARY_FOR_BACKING_BOARD_SIGN_none.svg,1200x600 mm,a : 1200 b : 600 r : 60 c : 30 d : 80 Text : 160C,
TG32,"""General supplementary `Works End Thank You` supplementary for standard"" — sign",Temporary Warning Signs,GENERAL_SUPPLEMENTARY_WORKS_END_THANK_YOU_SUPPLEMENTARY_FOR_STANDARD_SIGN_TG32.svg,900x450 mm,a : 900 b : 450 r : 50 c : 25 d : 60 Text : 120C,
none,"""NEW SEAL"" Supplementary For Backing Board",Temporary Warning Signs,NEW_SEAL_SUPPLEMENTARY_FOR_BACKING_BOARD_none.svg,1200x450 mm,a : 1200 b : 450 c : 30 r : 60 Text 160D,
TLA1,Arrow board - Variable,Temporary Warning Signs,ARROW_BOARD_VARIABLE_TLA1.svg,1200x600 mm,a : 1200 b : 600 c : 80 d : 240,
TZ35,Crash,Temporary Warning Signs,CRASH_TZ35.svg,850x250 mm,a 850 (Divided into two panels) b 250 c 20 (Left panel only) d 600 e 250 f 40 Legend 'CRASH' 100D Legend '20' 85/14,
TZ32,Fire,Temporary Warning Signs,FIRE_TZ32.svg,850x250 mm,a 850 b 250 r 50 c 25 Legend Type 100D,
T236 / T236B,Hazard warning supplementary - barrier arms not working (Supplements W2-1),Temporary Warning Signs,HAZARD_WARNING_SUPPLEMENTARY_BARRIER_ARMS_NOT_WORKING_SUPPLEMENTS_W2_1_T236-T236B.svg,1200x600 mm,"a 900 1200 b 450 600 r 50 60 c 25 30 d 60 80 Legend Type 'Barriers' 120C 'Not Working' 120B 'Barriers' 160C ""Not Working' 160B",
T236 / T236B,Hazard warning supplementary - barrier arms not working (Supplements W2-1),Temporary Warning Signs,HAZARD_WARNING_SUPPLEMENTARY_BARRIER_ARMS_NOT_WORKING_SUPPLEMENTS_W2_1_VAR2_T236-T236B.svg,900x450 mm,"a 900 1200 b 450 600 r 50 60 c 25 30 d 60 80 Legend Type 'Barriers' 120C 'Not Working' 120B 'Barriers' 160C ""Not Working' 160B",
TD5,Road closure / detour `Detour Ends`,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DETOUR_ENDS_TD5.svg,900x450 mm,a 900 b 450 c 58 d 25 r 50 Letters 120E,
TDB5,Road closure / detour direction indicator circle symbol Straight Ahead LH,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_CIRCLE_SYMBOL_STRAIGHT_AHEAD_LH_TDB5.svg,900x450 mm,a : 900 b : 450 c : 250 d : 250 e : 220 f : 230 g : 15 h : 25 r : 50 Arrow Type : D,
TDB6,Road closure / detour direction indicator circle symbol Straight Ahead RH,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_CIRCLE_SYMBOL_STRAIGHT_AHEAD_RH_TDB6.svg,900x450 mm,a : 900 b : 450 c : 250 d : 250 e : 220 f : 230 g : 15 h : 25 r : 50 Arrow Type : D,
TDB1,Road closure / detour direction indicator circle symbol Turn Left,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_CIRCLE_SYMBOL_TURN_LEFT_TDB1.svg,900x450 mm,a : 900 b : 450 c : 250 d : 220 e : 250 f : 230 g : 15 h : 25 r : 50 Arrow Type : D,
TDB2,Road closure / detour direction indicator circle symbol Turn Right,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_CIRCLE_SYMBOL_TURN_RIGHT_TDB2.svg,900x450 mm,a : 900 b : 450 c : 250 d : 220 e : 250 f : 230 g : 15 h : 25 r : 50 Arrow Type : D,
TDB3,Road closure / detour direction indicator circle symbol veer left,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_CIRCLE_SYMBOL_VEER_LEFT_TDB3.svg,900x450 mm,a : 900 b : 450 c : 250 d : 200 e : 200 f : 230 g : 15 h : 25 r : 50 Arrow Type : D,
TDB4,Road closure / detour direction indicator circle symbol veer right,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_CIRCLE_SYMBOL_VEER_RIGHT_TDB4.svg,900x450 mm,a : 900 b : 450 c : 250 d : 200 e : 200 f : 230 g : 15 h : 25 r : 50 Arrow Type : D,
TDC5,Road closure / detour direction indicator diamond symbol Straight Ahead LH,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_DIAMOND_SYMBOL_STRAIGHT_AHEAD_LH_TDC5.svg,900x450 mm,a : 900 b : 450 c : 250 d : 250 e : 220 f : 230 g : 10 h : 25 r : 50 Arrow Type : D,
TDC6,Road closure / detour direction indicator diamond symbol Straight Ahead RH,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_DIAMOND_SYMBOL_STRAIGHT_AHEAD_RH_TDC6.svg,900x450 mm,a : 900 b : 450 c : 250 d : 250 e : 220 f : 230 g : 10 h : 25 r : 50 Arrow Type : D,
TDC1,Road closure / detour direction indicator diamond symbol Turn Left,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_DIAMOND_SYMBOL_TURN_LEFT_TDC1.svg,900x450 mm,a : 900 b : 450 c : 250 d : 220 e : 250 f : 230 g : 10 h : 25 r : 50 Arrow Type : D,
TDC2,Road closure / detour direction indicator diamond symbol Turn Right,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_DIAMOND_SYMBOL_TURN_RIGHT_TDC2.svg,900x450 mm,a : 900 b : 450 c : 250 d : 220 e : 250 f : 230 g : 10 h : 25 r : 50 Arrow Type : D,
TDC3,Road closure / detour direction indicator diamond symbol veer left,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_DIAMOND_SYMBOL_VEER_LEFT_TDC3.svg,900x450 mm,a : 900 b : 450 c : 250 d : 200 e : 200 f : 230 g : 10 h : 25 r : 50 Arrow Type : D,
TDC4,Road closure / detour direction indicator diamond symbol veer right,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_DIAMOND_SYMBOL_VEER_RIGHT_TDC4.svg,900x450 mm,a : 900 b : 450 c : 250 d : 200 e : 200 f : 230 g : 10 h : 25 r : 50 Arrow Type : D,
TDA5,Road closure / detour direction indicator square symbol Straight Ahead LH,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_SQUARE_SYMBOL_STRAIGHT_AHEAD_LH_TDA5.svg,900x450 mm,a : 900 b : 450 c : 250 d : 250 e : 220 f : 230 g : 15 h : 25 r : 50 Arrow Type : D,
TDA6,Road closure / detour direction indicator square symbol Straight Ahead RH,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_SQUARE_SYMBOL_STRAIGHT_AHEAD_RH_TDA6.svg,900x450 mm,a : 900 b : 450 c : 250 d : 250 e : 220 f : 230 g : 15 h : 25 r : 50 Arrow Type : D,1 stroked path(s) ignored
TDA1,Road closure / detour direction indicator square symbol Turn Left,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_SQUARE_SYMBOL_TURN_LEFT_TDA1.svg,900x450 mm,a 900 b 450 c 250 d 220 e 250 f 230 g 15 h 25 r 50 Arrow Type D,
TDA2,Road closure / detour direction indicator square symbol Turn Right,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_SQUARE_SYMBOL_TURN_RIGHT_TDA2.svg,900x450 mm,a 900 b 450 c 250 d 220 e 250 f 230 g 15 h 25 r 50 Arrow Type D,1 stroked path(s) ignored
TDA3,Road closure / detour direction indicator square symbol veer left,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_SQUARE_SYMBOL_VEER_LEFT_TDA3.svg,900x450 mm,a : 900 b : 450 c : 250 d : 200 e : 200 f : 230 g : 15 h : 25 r : 50 Arrow Type : D,
TDA4,Road closure / detour direction indicator square symbol veer right,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_SQUARE_SYMBOL_VEER_RIGHT_TDA4.svg,900x450 mm,a : 900 b : 450 c : 250 d : 200 e : 200 f : 230 g : 15 h : 25 r : 50 Arrow Type : D,
TDD5,Road closure / detour direction indicator state highway shield symbol Straight Ahead LH,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_STATE_HIGHWAY_SHIELD_SYMBOL_STRAIGHT_AHEAD_LH_TDD5.svg,900x450 mm,a : 900 b : 450 c : 250 d : 250 e : 220 f : 230 g : 15 h : 25 r : 50 Arrow Type : D Symbol and Height : S32 230,
TDD6,Road closure / detour direction indicator state highway shield symbol Straight Ahead RH,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_STATE_HIGHWAY_SHIELD_SYMBOL_STRAIGHT_AHEAD_RH_TDD6.svg,900x450 mm,a : 900 b : 450 c : 250 d : 250 e : 220 f : 230 g : 15 h : 25 r : 50 Arrow Type : D Symbol and Height : S32 230,
TDD1,Road closure / detour direction indicator state highway shield symbol Turn Left,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_STATE_HIGHWAY_SHIELD_SYMBOL_TURN_LEFT_TDD1.svg,900x450 mm,Symbol and Height : S32 230 a : 900 b : 450 c : 250 d : 220 e : 250 f : 230 g : 15 h : 25 r : 50 Arrow Type : D,
TDD2,Road closure / detour direction indicator state highway shield symbol Turn Right,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_STATE_HIGHWAY_SHIELD_SYMBOL_TURN_RIGHT_TDD2.svg,900x450 mm,Symbol and Height : S32 230 a : 900 b : 450 c : 250 d : 220 e : 250 f : 230 g : 15 h : 25 r : 50 Arrow Type : D,
TDD3,Road closure / detour direction indicator state highway shield symbol veer left,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_STATE_HIGHWAY_SHIELD_SYMBOL_VEER_LEFT_TDD3.svg,900x450 mm,Symbol and Height : S32 230 a : 900 b : 450 c : 250 d : 200 e : 200 f : 230 g : 15 h : 25 r : 50 Arrow Type : D,
TDD4,Road closure / detour direction indicator state highway shield symbol veer right,Temporary Warning Signs,ROAD_CLOSURE_DETOUR_DIRECTION_INDICATOR_STATE_HIGHWAY_SHIELD_SYMBOL_VEER_RIGHT_TDD4.svg,900x450 mm,Symbol and Height : S32 230 a : 900 b : 450 c : 250 d : 200 e : 200 f : 230 g : 15 h : 25 r : 50 Arrow Type : D,
RST2,Temporary speed limit for slippery surface - Option A,Temporary Warning Signs,TEMPORARY_SPEED_LIMIT_FOR_SLIPPERY_SURFACE_OPTION_A_RST2.svg,1029x1019 mm,Numerals 250D a: 750 b: 95 c: 750 d: 25 r: 50,
RST2,Temporary speed limit for slippery surface - Option A,Temporary Warning Signs,TEMPORARY_SPEED_LIMIT_FOR_SLIPPERY_SURFACE_OPTION_A_RED_RST2.svg,748x748 mm,Numerals 250D a: 750 b: 95 c: 750 d: 25 r: 50,
RST2B,Temporary speed limit for slippery surface - Option B,Temporary Warning Signs,TEMPORARY_SPEED_LIMIT_FOR_SLIPPERY_SURFACE_OPTION_B_RST2B.svg,1205x2430 mm,Numerals 400D a: 1200 b: 150 c: 850 d: 30 r: 60,
SV21,ATV,Symbols,ATV_SV21.svg,100x79 mm,a : 100 b : 78 Sign Size : 100 x 78 Symbol : black,symbol sheet drawn at 1004 mm wide; scaled to the register's 100 mm
SV51,Aeroplane,Symbols,AEROPLANE_SV51.svg,480x467 mm,a : 480 b : 480 Sign Size : 480 x 480 Symbol : Black,symbol sheet drawn at 955 mm wide; scaled to the register's 480 mm
SF35,Birds - kereru and car,Symbols,BIRDS_KERERU_AND_CAR_SF35.svg,1200x1200 mm,,
SV10,Bus,Symbols,BUS_SV10.svg,465x160 mm,a : 465 b : 160 Sign Size : 465 x 160 Symbol : Black,symbol sheet drawn at 930 mm wide; scaled to the register's 465 mm
SV11,Bus Stop,Symbols,BUS_STOP_SV11.svg,465x465 mm,a : 465 b : 160 Sign Size : 465 x 160 Symbol : Black,symbol sheet drawn at 600 mm wide; scaled to the register's 465 mm
SF11,Cattle,Symbols,CATTLE_SF11.svg,1105x756 mm,,
SU02,Children,Symbols,CHILDREN_SU02.svg,400x340 mm,a : 400 b : 360 Sign Size : 400 x 360 Symbol : Black,symbol sheet drawn at 1074 mm wide; scaled to the register's 400 mm
SU10,Cycle,Symbols,CYCLE_SU10.svg,500x324 mm,a : 500 305 230 150 b : 350 200 150 100 Symbol : Black Black Black Black,symbol sheet drawn at 772 mm wide; scaled to the register's 500 mm
SGD1,Detour symbol - square,Symbols,DETOUR_SYMBOL_SQUARE_SGD1.svg,150x150 mm,Width 150 Height 150 Border: 10,
SGD4,Detour symbol – SH shield,Symbols,DETOUR_SYMBOL_SH_SHIELD_SGD4.svg,160x160 mm,Width 160 Height 160 Border: 10,
SGD2,Detour symbol – circle,Symbols,DETOUR_SYMBOL_CIRCLE_SGD2.svg,225x225 mm,Diameter 225 Border: 10,
SGD3,Detour symbol – diamond,Symbols,DETOUR_SYMBOL_DIAMOND_SGD3.svg,212x212 mm,Diamond 150 Border: 10,
none,Disabled park,Symbols,DISABLED_PARK_none.svg,508x604 mm,,
None,Drive on Left W14-11.1 Symbol,Symbols,DRIVE_ON_LEFT_W14_11_1_SYMBOL_None.svg,620x620 mm,arrow centre line symbol 620 x 480 775 x 600 930 x 720 1240 x 960,symbol sheet drawn at 1200 mm wide; scaled to the register's 620 mm
SM31,Electric Vehicle charging station - symbol (for motorist service signs and parking signs),Symbols,ELECTRIC_VEHICLE_CHARGING_STATION_SYMBOL_FOR_MOTORIST_SERVICE_SIGNS_AND_PARKING_SIGNS_SM31.svg,300x300 mm,Symbol on motorist service sign: 300 x 300 mm Symbol on parking sign: 100 x 100 mm,symbol sheet drawn at 3001 mm wide; scaled to the register's 300 mm
SR03,Electric cable,Symbols,ELECTRIC_CABLE_SR03.svg,400x612 mm,b : 640 a : 400 Sign Size : 400 x 640 Symbol : Black,symbol sheet drawn at 1000 mm wide; scaled to the register's 400 mm
None,Equestrian,Symbols,EQUESTRIAN_None.svg,480x397 mm,a : 480 b : 440 Sign Size : 480 x 440 Symbol : Black,symbol sheet drawn at 1148 mm wide; scaled to the register's 480 mm
SR05,Falling debris,Symbols,FALLING_DEBRIS_SR05.svg,600x467 mm,b : 450 a : 600 Sign Size : 600 x 450 Symbol : Black,symbol sheet drawn at 1474 mm wide; scaled to the register's 600 mm
SV36,Fire engine,Symbols,FIRE_ENGINE_SV36.svg,560x171 mm,a : 560 b : 160 Sign Size : 560 x 160 Symbol : Black,symbol sheet drawn at 1353 mm wide; scaled to the register's 560 mm
SV37,Fork-lift,Symbols,FORK_LIFT_SV37.svg,480x438 mm,a : 480 b : 480 Sign Size : 480 x 480 Symbol : Black,symbol sheet drawn at 1204 mm wide; scaled to the register's 480 mm
SR10,Gravel surface,Symbols,GRAVEL_SURFACE_SR10.svg,500x221 mm,b : 240 a : 500 Sign Size : 500 x 240 Symbol : Black,symbol sheet drawn at 1288 mm wide; scaled to the register's 500 mm
SV52,Helicopter,Symbols,HELICOPTER_SV52.svg,440x239 mm,a : 440 b : 320 Sign Size : 440 x 320 Symbol : Black,symbol sheet drawn at 1242 mm wide; scaled to the register's 440 mm
ST03,Historic Places Trust building,Symbols,,,a : 300 b : 300,no filled artwork in the EPS
None,Keep Left W14-11 Symbol,Symbols,KEEP_LEFT_W14_11_SYMBOL_None.svg,400x400 mm,symbol of cars/arrow/centre line 400 x 600 500 x 750 600 x 900 800 x 1200,symbol sheet drawn at 1200 mm wide; scaled to the register's 400 mm
SV12,Light rails,Symbols,LIGHT_RAILS_SV12.svg,560x262 mm,a : 560 b : 260 Sign Size : 560 x 260 Symbol : Black,symbol sheet drawn at 1362 mm wide; scaled to the register's 560 mm
ST10,Look Out Symbol,intervene/Symbols,LOOK_OUT_SYMBOL_ST10.svg,300x349 mm,"a 300 b 300 Note 1: The symbol is Figure A67 in NZS 8603:2005, Design and Application of Outdoor Recreation Symbols. Reproduction of this symbol is subject to copyright and requires the purchase of NZS 8603:2005 CD ROM. For more information please contact Standards New Zealand. Telephone: 64 3 943 4259 or Freephone: 0800 782 632 (within New Zealand) Internet: www.standards.govt.nz",artwork not supplied by NZTA: sheet says The copyright for this
SR11,Manual Traffic Control,Symbols,MANUAL_TRAFFIC_CONTROL_SR11.svg,600x611 mm,b : 600 a : 600 Sign Size : 600 x 600 Symbol : Black,symbol sheet drawn at 1178 mm wide; scaled to the register's 600 mm
SV20,Motorcycle,Symbols,MOTORCYCLE_SV20.svg,190x98 mm,a : 190 b : 100 Sign Size : 190 x 100 Symbol : Black,symbol sheet drawn at 913 mm wide; scaled to the register's 190 mm
SM11,Motorist service 24 hr medical service,Symbols,MOTORIST_SERVICE_24_HR_MEDICAL_SERVICE_SM11.svg,306x309 mm,Symbol : Cross 300x300mm,
SM02,Motorist service accommodation,Symbols,MOTORIST_SERVICE_ACCOMMODATION_SM02.svg,360x282 mm,Symbol : Bed 360x300mm,symbol sheet drawn at 400 mm wide; scaled to the register's 360 mm
SM18,Motorist service airfield,Symbols,MOTORIST_SERVICE_AIRFIELD_SM18.svg,300x304 mm,Symbol : Jet aircraft 300x300mm,symbol sheet drawn at 365 mm wide; scaled to the register's 300 mm
SM19,Motorist service boat ramp,Symbols,MOTORIST_SERVICE_BOAT_RAMP_SM19.svg,360x257 mm,Symbol : boat trailer white ramp and wavy lines 360x300mm,symbol sheet drawn at 423 mm wide; scaled to the register's 360 mm
SM03,Motorist service camping ground,Symbols,MOTORIST_SERVICE_CAMPING_GROUND_SM03.svg,360x168 mm,Symbol : Tent 360x300mm,symbol sheet drawn at 418 mm wide; scaled to the register's 360 mm
SM05,Motorist service camping ground and caravan park,Symbols,MOTORIST_SERVICE_CAMPING_GROUND_AND_CARAVAN_PARK_SM05.svg,240x277 mm,Symbol : Tent above Caravan 240x300mm,symbol sheet drawn at 294 mm wide; scaled to the register's 240 mm
SM04,Motorist service caravan park,Symbols,MOTORIST_SERVICE_CARAVAN_PARK_SM04.svg,360x211 mm,Symbol : Caravan 360x300mm,symbol sheet drawn at 414 mm wide; scaled to the register's 360 mm
SM10,Motorist service information,Symbols,MOTORIST_SERVICE_INFORMATION_SM10.svg,232x365 mm,Symbol : Italic lower case i 240x300mm,
SM09,Motorist service meals,Symbols,MOTORIST_SERVICE_MEALS_SM09.svg,240x312 mm,Symbol : Fork and spoon 240x300mm,symbol sheet drawn at 277 mm wide; scaled to the register's 240 mm
SM06,Motorist service motor fuel,Symbols,MOTORIST_SERVICE_MOTOR_FUEL_SM06.svg,300x283 mm,Symbol : Petrol pump 300x300mm,symbol sheet drawn at 343 mm wide; scaled to the register's 300 mm
SM15,Motorist service public parking area,Symbols,MOTORIST_SERVICE_PUBLIC_PARKING_AREA_SM15.svg,300x377 mm,Symbol : P - 300x300mm,symbol sheet drawn at 250 mm wide; scaled to the register's 300 mm
SM12,Motorist service public telephone,Symbols,MOTORIST_SERVICE_PUBLIC_TELEPHONE_SM12.svg,240x629 mm,Symbol : Telephone hand piece 240x300mm,symbol sheet drawn at 143 mm wide; scaled to the register's 240 mm
SM13,Motorist service public toilets,Symbols,MOTORIST_SERVICE_PUBLIC_TOILETS_SM13.svg,300x279 mm,Symbol : Man and woman separated by line 300x300mm,symbol sheet drawn at 335 mm wide; scaled to the register's 300 mm
SM01,Motorist service rest area,Symbols,MOTORIST_SERVICE_REST_AREA_SM01.svg,300x294 mm,Symbol : Tree and table 300x300mm,symbol sheet drawn at 342 mm wide; scaled to the register's 300 mm
SM16,Motorist service truck parking area,Symbols,MOTORIST_SERVICE_TRUCK_PARKING_AREA_SM16.svg,360x272 mm,Symbol : P above heavy motor vehicle 360x300mm,symbol sheet drawn at 397 mm wide; scaled to the register's 360 mm
SM17,Motorist service truck trailer parking area,Symbols,MOTORIST_SERVICE_TRUCK_TRAILER_PARKING_AREA_SM17.svg,360x262 mm,Symbol : P above heavy full trailer 360x300mm,symbol sheet drawn at 393 mm wide; scaled to the register's 360 mm
SM14,Motorist service waste disposal for campervans and caravans,Symbols,MOTORIST_SERVICE_WASTE_DISPOSAL_FOR_CAMPERVANS_AND_CARAVANS_SM14.svg,300x295 mm,Symbol : Camping van 300x300mm,symbol sheet drawn at 365 mm wide; scaled to the register's 300 mm
SM20,Motorist service wheelchair access,Symbols,MOTORIST_SERVICE_WHEELCHAIR_ACCESS_SM20.svg,240x297 mm,Symbol : Person in wheelchair 240x300mm,symbol sheet drawn at 294 mm wide; scaled to the register's 240 mm
none,NZ Cycle Trail (NZCT) symbol,Symbols,NZ_CYCLE_TRAIL_NZCT_SYMBOL_none.svg,140x126 mm,a 140 200 b 126 180 Legend Symbol 126x112 180x160,symbol sheet drawn at 1400 mm wide; scaled to the register's 140 mm
SP03,Parking (P) (used in PP series),Symbols,PARKING_P_USED_IN_PP_SERIES_SP03.svg,120x150 mm,Letters : 100E Rectangle 120 x 150 Legend : white Background : blue,
SP04,Pay parking (P$) (used in PP series),Symbols,PAY_PARKING_P_USED_IN_PP_SERIES_SP04.svg,180x150 mm,Letters : 100E Symbol ($): Transport D Med x = 45 Rectangle 180 x 150 Legend : white Background : blue,
SU01,Pedestrian,Symbols,PEDESTRIAN_SU01.svg,145x256 mm,a : 145 b : 260 Sign Size : 145 x 260 Symbol : Black,symbol sheet drawn at 283 mm wide; scaled to the register's 145 mm
ST11,Photography Symbol,intervene/Symbols,PHOTOGRAPHY_SYMBOL_ST11.svg,300x239 mm,"a 300 b 300 Note 1: The copyright of the camera symbol is owned by Standard New Zealand. The symbol is Figure A76 in NZS 8603:2005, Design and Application of Outdoor Recreation Symbols. Reproduction of the symbol is subject to copyright and requires the purchase of NZS 8603:2005 CD ROM. For more information please contact Standards New Zealand. Telephone: 64 3 943 4259 or Freephone: 0800 782 632 (",artwork not supplied by NZTA: sheet says The copyright for this
SU11,Rail tracks - cyclists take care,Symbols,RAIL_TRACKS_CYCLISTS_TAKE_CARE_SU11.svg,500x297 mm,a : 500 b : 280 Sign Size : 500 x 280 Symbol : Black,symbol sheet drawn at 1251 mm wide; scaled to the register's 500 mm
SR08,Railway level crossing signals,Symbols,RAILWAY_LEVEL_CROSSING_SIGNALS_SR08.svg,320x424 mm,b : 440 a : 320 Sign Size : 320 x 440 Symbol : Black,symbol sheet drawn at 410 mm wide; scaled to the register's 320 mm
SR09,Road works,Symbols,ROAD_WORKS_SR09.svg,500x580 mm,b : 600 a : 500 Sign Size : 500 x 600 Symbol : Black,symbol sheet drawn at 1047 mm wide; scaled to the register's 500 mm
SR01,Roundabout,Symbols,ROUNDABOUT_SR01.svg,37x64 mm,r2 5 6 8 r1 106 127 170 e 5 6 8 d 64 77 102 c 8 10 13 b 34 41 54 a 37 44 59 Sign Size 866 x 750 1039 x 900 1386 x 1200,symbol sheet drawn at 733 mm wide; scaled to the register's 37 mm
SU04,School bus route,Symbols,SCHOOL_BUS_ROUTE_SU04.svg,550x460 mm,a : 550 b : 500 Sign Size : 550 x 500 Symbol : Black,symbol sheet drawn at 1124 mm wide; scaled to the register's 550 mm
SF12,Sheep,Symbols,SHEEP_SF12.svg,987x740 mm,,
SR06,Slippery surface,Symbols,SLIPPERY_SURFACE_SR06.svg,520x463 mm,b : 480 a : 520 Sign Size : 520 x 480 Symbol : Black,symbol sheet drawn at 1224 mm wide; scaled to the register's 520 mm
SE02,Snow,Symbols,SNOW_SE02.svg,50x58 mm,a : 50 b : 58 Symbol Size: 50 x 58 Symbol : Black,symbol sheet drawn at 500 mm wide; scaled to the register's 50 mm
SG01,State highway shield,Symbols,,,,no filled artwork in the EPS
